IC_time,DutyFactor,normalized_stride_length,Participant,Condition
0.2066666666666666,47.27272727272728,1.7904213662514183,P11,0
0.57,43.891402714932134,1.7985596451889247,P11,0
0.94,46.60633484162897,1.798559645188925,P11,0
1.3066666666666666,44.49541284403669,1.774144808376405,P11,0
1.6766666666666667,45.62211981566822,1.7660065294388982,P11,0
2.033333333333333,43.83561643835615,1.7822830873139115,P11,0
2.4,45.2054794520548,1.7822830873139115,P11,0
2.763333333333333,42.922374429223765,1.7822830873139115,P11,0
3.13,45.871559633027545,1.774144808376405,P11,0
3.493333333333333,42.986425339366505,1.798559645188926,P11,0
3.8566666666666665,46.153846153846104,1.798559645188926,P11,0
4.23,43.11926605504578,1.774144808376405,P11,0
4.593333333333334,45.45454545454541,1.7904213662514183,P11,0
4.956666666666667,42.46575342465751,1.7822830873139104,P11,0
5.326666666666667,44.85981308411209,1.7415916926263784,P11,0
5.6866666666666665,43.457943925233685,1.7415916926263806,P11,0
6.04,45.20547945205483,1.7822830873139104,P11,0
6.4,43.11926605504578,1.774144808376405,P11,0
6.77,45.16129032258069,1.7660065294388994,P11,0
7.126666666666667,43.11926605504595,1.7741448083764029,P11,0
7.493333333333333,44.186046511627815,1.7497299715638883,P11,0
7.853333333333333,44.954128440366986,1.7741448083764073,P11,0
8.21,45.20547945205464,1.7822830873139084,P11,0
8.58,43.51851851851837,1.757868250501394,P11,0
8.94,46.29629629629609,1.757868250501394,P11,0
9.3,44.18604651162787,1.749729971563886,P11,0
9.66,45.16129032258062,1.7660065294388971,P11,0
10.016666666666667,42.92237442922372,1.7822830873139084,P11,0
10.383333333333333,44.651162790697455,1.749729971563886,P11,0
10.746666666666666,43.31797235023049,1.7660065294389016,P11,0
11.1,46.11872146118734,1.7822830873139126,P11,0
11.47,44.23963133640547,1.766006529438893,P11,0
11.83,44.907407407407476,1.757868250501394,P11,0
12.193333333333332,43.05555555555573,1.7578682505013983,P11,0
12.55,44.54545454545488,1.7904213662514117,P11,0
12.913333333333334,44.23963133640525,1.7660065294389016,P11,0
13.283333333333331,46.261682242990574,1.7415916926263828,P11,0
