IC_time,DutyFactor,normalized_stride_length,Participant,Condition
0.25,46.78899082568806,1.6128589167058232,P11,7
0.6166666666666667,48.18181818181817,1.6276557875012891,P11,7
0.9766666666666668,47.48858447488581,1.620257352103556,P11,7
1.35,47.2727272727273,1.6276557875012883,P11,7
1.7066666666666668,47.03196347031961,1.6202573521035555,P11,7
2.083333333333333,49.07407407407411,1.598062045910356,P11,7
2.4366666666666665,47.0046082949309,1.6054604813080904,P11,7
2.803333333333333,47.685185185185226,1.5980620459103572,P11,7
3.16,46.3302752293578,1.6128589167058216,P11,7
3.523333333333333,46.81818181818178,1.6276557875012903,P11,7
3.8866666666666663,47.441860465116285,1.5906636105126246,P11,7
4.256666666666667,47.663551401869164,1.5832651751148894,P11,7
4.6033333333333335,46.78899082568806,1.6128589167058227,P11,7
4.97,48.623853211009205,1.6128589167058227,P11,7
5.33,47.00460829493084,1.6054604813080904,P11,7
5.696666666666666,49.76958525345624,1.6054604813080904,P11,7
6.053333333333334,47.24770642201829,1.6128589167058227,P11,7
6.42,48.38709677419348,1.6054604813080904,P11,7
6.78,46.75925925925918,1.598062045910356,P11,7
7.1433333333333335,47.24770642201829,1.6128589167058227,P11,7
7.5,46.363636363636395,1.6276557875012871,P11,7
7.87,48.18181818181808,1.6276557875012891,P11,7
8.233333333333333,47.90697674418609,1.5906636105126237,P11,7
8.603333333333333,48.611111111111015,1.598062045910358,P11,7
8.95,47.27272727272758,1.6276557875012911,P11,7
9.323333333333334,48.623853211008964,1.6128589167058227,P11,7
9.683333333333334,47.222222222221916,1.598062045910358,P11,7
10.05,48.13084112149516,1.5832651751148894,P11,7
10.403333333333334,47.22222222222239,1.5980620459103503,P11,7
10.763333333333334,48.40182648401826,1.620257352103557,P11,7
11.123333333333331,46.543778801843644,1.6054604813080924,P11,7
11.493333333333334,47.24770642201816,1.6128589167058227,P11,7
11.846666666666666,47.03196347031966,1.620257352103557,P11,7
12.22,47.9452054794521,1.620257352103553,P11,7
12.576666666666666,47.27272727272733,1.6276557875012911,P11,7
12.95,48.387096774193665,1.6054604813080924,P11,7
13.31,47.68518518518531,1.5980620459103543,P11,7
