IC_time,DutyFactor,normalized_stride_length,Participant,Condition
0.18,33.183856502242165,2.193713470508233,P12,0
0.5466666666666666,32.28699551569506,2.193713470508234,P12,0
0.9233333333333332,32.142857142857125,2.203550750645042,P12,0
1.29,31.555555555555543,2.2133880307818496,P12,0
1.67,32.735426008968574,2.1937134705082344,P12,0
2.04,31.696428571428616,2.2035507506450402,P12,0
2.4133333333333336,32.30088495575221,2.223225310918657,P12,0
2.786666666666666,31.696428571428577,2.203550750645043,P12,0
3.1666666666666665,31.858407079646046,2.223225310918658,P12,0
3.533333333333333,31.57894736842103,2.242899871192274,P12,0
3.92,31.718061674008837,2.2330625910554667,P12,0
4.293333333333333,31.14035087719303,2.2428998711922765,P12,0
4.676666666666667,31.87772925764189,2.2527371513290837,P12,0
5.053333333333334,32.751091703056794,2.252737151329081,P12,0
5.44,33.33333333333333,2.2133880307818496,P12,0
5.816666666666666,32.00000000000003,2.2133880307818496,P12,0
6.19,33.33333333333329,2.242899871192274,P12,0
6.566666666666666,32.44444444444443,2.2133880307818496,P12,0
6.95,33.33333333333325,2.183876190371426,P12,0
7.316666666666666,31.98198198198205,2.183876190371426,P12,0
7.69,32.14285714285703,2.203550750645043,P12,0
8.056666666666667,31.85840707964602,2.2232253109186595,P12,0
8.436666666666667,33.18584070796466,2.223225310918654,P12,0
8.81,31.41592920354007,2.223225310918654,P12,0
9.19,32.28699551569507,2.1937134705082357,P12,0
9.563333333333333,31.981981981982173,2.183876190371426,P12,0
9.933333333333334,32.88288288288273,2.183876190371426,P12,0
10.303333333333333,32.28699551569475,2.1937134705082406,P12,0
10.673333333333334,32.5892857142856,2.2035507506450402,P12,0
11.046666666666669,31.83856502242113,2.193713470508225,P12,0
11.42,32.43243243243245,2.183876190371426,P12,0
11.79,32.43243243243245,2.183876190371426,P12,0
12.16,32.28699551569507,2.1937134705082357,P12,0
12.53,31.53153153153165,2.183876190371426,P12,0
12.903333333333334,32.28699551569483,2.1937134705082357,P12,0
13.27,31.696428571428477,2.203550750645045,P12,0
