Time,Left Ankle Angles - X,Left Ankle Angles - Y,Left Ankle Angles - Z,Left Hip Angle - X,Left Hip Angle - Y,Left Hip Angle - Z,Left Pelvic Angles - X,Left Pelvic Angles - Y,Left Pelvic Angles - Z,Left Knee Angle - X,Left Knee Angle - Y,Left Knee Angle - Z,Right Ankle Angles - X,Right Ankle Angles - Y,Right Ankle Angles - Z,Right Hip Angle - X,Right Hip Angle - Y,Right Hip Angle - Z,Right Knee Angle - X,Right Knee Angle - Y,Right Knee Angle - Z,Right Pelvic Angles - X,Right Pelvic Angles - Y,Right Pelvic Angles - Z
0.06,-24.53892,8.95384,-5.67572,42.56113,-7.11549,2.63258,7.87966,0.1133,1.65006,92.18397,-4.36503,3.64267,-10.49665,14.15911,-14.76218,5.9703,6.09157,8.08365,27.11239,-3.84135,-0.3952,7.87966,-0.1133,-1.65006
0.0633333333333333,-24.52177,8.80084,-5.54452,43.14792,-6.71191,3.2518,7.97929,-0.1925,1.40189,91.17581,-5.24766,3.20771,-11.55604,14.45888,-14.21372,5.29978,5.63092,8.0103,26.39489,-3.87425,-0.76821,7.97929,0.1925,-1.40189
0.0666666666666666,-24.48809,8.69739,-5.45612,43.7158,-6.25827,3.87733,8.08454,-0.51252,1.12552,90.14285,-6.14112,2.73451,-12.69027,14.73549,-13.59706,4.6461,5.13369,7.92644,25.68104,-3.94539,-1.21577,8.08454,0.51252,-1.12552
0.07,-24.47966,8.64268,-5.39099,44.2569,-5.75626,4.49567,8.18948,-0.84513,0.82639,89.05322,-7.01673,2.216,-13.90745,14.99094,-12.93367,4.00085,4.59972,7.83063,24.96719,-4.05227,-1.72453,8.18948,0.84513,-0.82639
0.0733333333333333,-24.49335,8.6266,-5.34368,44.76355,-5.21701,5.0934,8.28875,-1.18358,0.51472,87.88387,-7.85043,1.6435,-15.21976,15.22254,-12.24668,3.3564,4.03579,7.72766,24.24976,-4.19156,-2.28228,8.28875,1.18358,-0.51472
0.0766666666666666,-24.49145,8.63528,-5.31698,45.2277,-4.66262,5.65946,8.37748,-1.51428,0.20639,86.62592,-8.62763,1.00774,-16.63648,15.42241,-11.55641,2.70567,3.4567,7.62901,23.52616,-4.35895,-2.87645,8.37748,1.51428,-0.20639
0.08,-24.43991,8.66077,-5.32033,45.64228,-4.12061,6.1857,8.45223,-1.82042,-0.08004,85.28105,-9.34117,0.3033,-18.15677,15.58376,-10.87687,2.04435,2.88116,7.54942,22.79457,-4.54914,-3.49215,8.45223,1.82042,0.08004
0.0833333333333333,-24.33962,8.69402,-5.35219,46.00266,-3.60913,6.66683,8.51216,-2.09157,-0.33387,83.85652,-9.98755,-0.46629,-19.76592,15.71106,-10.21379,1.37294,2.32345,7.49694,22.05436,-4.75481,-4.11329,8.51216,2.09157,0.33387
0.0866666666666666,-24.20579,8.72755,-5.41218,46.30664,-3.12904,7.10112,8.55863,-2.32783,-0.55732,82.36158,-10.56545,-1.28752,-21.44316,15.82189,-9.57037,0.69553,1.79002,7.46829,21.30504,-4.96666,-4.72407,8.55863,2.32783,0.55732
0.09,-24.06173,8.74692,-5.49246,46.55381,-2.67072,7.4894,8.59425,-2.53593,-0.75994,80.80444,-11.07595,-2.13763,-23.17337,15.93624,-8.94908,0.01808,1.28347,7.45442,20.5472,-5.17419,-5.31263,8.59425,2.53593,0.75994
