Time,Left Ankle Angles - X,Left Ankle Angles - Y,Left Ankle Angles - Z,Left Hip Angle - X,Left Hip Angle - Y,Left Hip Angle - Z,Left Pelvic Angles - X,Left Pelvic Angles - Y,Left Pelvic Angles - Z,Left Knee Angle - X,Left Knee Angle - Y,Left Knee Angle - Z,Right Ankle Angles - X,Right Ankle Angles - Y,Right Ankle Angles - Z,Right Hip Angle - X,Right Hip Angle - Y,Right Hip Angle - Z,Right Knee Angle - X,Right Knee Angle - Y,Right Knee Angle - Z,Right Pelvic Angles - X,Right Pelvic Angles - Y,Right Pelvic Angles - Z
0.0,-16.80309,6.99148,-4.64366,42.24885,-6.69623,-0.64113,11.66714,5.34403,-0.03427,85.36853,-0.24772,-9.34797,-2.69415,-0.8063,-9.72742,23.15187,4.74728,-14.24022,43.21973,3.21097,4.7672,11.66714,-5.34403,0.03427
0.0033333333333333,-16.68868,6.99541,-4.93538,42.96519,-6.57034,-0.71128,11.84516,5.13174,0.16515,84.67626,-0.44204,-9.30677,-2.60283,-0.82074,-9.66209,22.70103,4.79083,-13.98142,42.84121,3.29646,4.67863,11.84516,-5.13174,-0.16515
0.0066666666666666,-16.57314,7.00982,-5.15618,43.68115,-6.4533,-0.75852,12.01103,4.90993,0.35242,83.95191,-0.65379,-9.2782,-2.52638,-0.84049,-9.5935,22.21545,4.81255,-13.72277,42.44527,3.37355,4.5999,12.01103,-4.90993,-0.35242
0.01,-16.45975,7.03895,-5.27629,44.37533,-6.34673,-0.77433,12.15591,4.68039,0.51979,83.19443,-0.8875,-9.27073,-2.47934,-0.8662,-9.51803,21.69394,4.80622,-13.46802,42.03473,3.43851,4.53347,12.15591,-4.68039,-0.51979
0.0133333333333333,-16.35006,7.08651,-5.29933,45.03813,-6.25465,-0.75257,12.2788,4.44566,0.66752,82.40107,-1.15233,-9.28558,-2.47109,-0.89233,-9.43156,21.13709,4.76901,-13.21593,41.60775,3.48591,4.48203,12.2788,-4.44566,-0.66752
0.0166666666666666,-16.23617,7.15537,-5.25856,45.66585,-6.17813,-0.69616,12.3831,4.20835,0.79989,81.56749,-1.45176,-9.31867,-2.50296,-0.90546,-9.33158,20.54757,4.70132,-12.96172,41.16164,3.51193,4.44465,12.3831,-4.20835,-0.79989
0.02,-16.10612,7.24574,-5.19837,46.25392,-6.10859,-0.61742,12.47255,3.97017,0.91963,80.68687,-1.77865,-9.36702,-2.57003,-0.88833,-9.21629,19.93226,4.60705,-12.70248,40.69894,3.52007,4.4143,12.47255,-3.97017,-0.91963
0.0233333333333333,-15.95617,7.35013,-5.1533,46.797,-6.03092,-0.53022,12.55041,3.73254,1.02751,79.75131,-2.12052,-9.43004,-2.66814,-0.82521,-9.08378,19.30134,4.49296,-12.43949,40.22683,3.52048,4.38115,12.55041,-3.73254,-1.02751
0.0266666666666666,-15.80053,7.45117,-5.13364,47.29159,-5.92904,-0.43875,12.61898,3.49656,1.12156,78.75485,-2.46954,-9.50905,-2.79483,-0.70639,-8.93426,18.66467,4.36427,-12.18078,39.75358,3.52422,4.34012,12.61898,-3.49656,-1.12156
0.03,-15.6697,7.5281,-5.1276,47.73655,-5.79169,-0.33708,12.67928,3.26316,1.19872,77.69478,-2.82396,-9.60513,-2.94978,-0.53127,-8.77146,18.02795,4.22267,-11.9385,39.2851,3.53744,4.29428,12.67928,-3.26316,-1.19872
