Time,Left Ankle Angles - X,Left Ankle Angles - Y,Left Ankle Angles - Z,Left Hip Angle - X,Left Hip Angle - Y,Left Hip Angle - Z,Left Pelvic Angles - X,Left Pelvic Angles - Y,Left Pelvic Angles - Z,Left Knee Angle - X,Left Knee Angle - Y,Left Knee Angle - Z,Right Ankle Angles - X,Right Ankle Angles - Y,Right Ankle Angles - Z,Right Hip Angle - X,Right Hip Angle - Y,Right Hip Angle - Z,Right Knee Angle - X,Right Knee Angle - Y,Right Knee Angle - Z,Right Pelvic Angles - X,Right Pelvic Angles - Y,Right Pelvic Angles - Z
0.0,-2.3949,0.3716,-13.00289,38.93336,9.96607,3.04318,11.76529,-3.22243,-6.29437,48.23138,-5.31063,-4.22779,-22.33659,9.75816,-7.45256,26.89764,-8.53761,-8.43144,88.34197,3.93962,-2.29174,11.76529,3.22243,6.29437
0.0033333333333333,-2.11304,0.21811,-13.07095,38.49559,10.02195,2.86238,11.79839,-3.25975,-6.44572,48.32742,-5.24066,-3.91281,-21.9733,9.73155,-7.81944,27.83265,-8.67946,-8.1162,89.10457,3.65589,-2.36989,11.79839,3.25975,6.44572
0.0066666666666666,-1.85032,0.05317,-13.1211,38.05999,10.06812,2.69739,11.83556,-3.29212,-6.59577,48.42451,-5.18532,-3.60756,-21.5947,9.70332,-8.17967,28.78626,-8.81557,-7.77694,89.85774,3.35391,-2.44252,11.83556,3.29212,6.59577
0.01,-1.61848,-0.12125,-13.15213,37.63771,10.09677,2.56006,11.87772,-3.31558,-6.73891,48.51812,-5.15516,-3.31927,-21.2094,9.67204,-8.51404,29.74207,-8.93655,-7.41056,90.57164,3.03312,-2.51155,11.87772,3.31558,6.73891
0.0133333333333333,-1.41216,-0.29882,-13.16535,37.23034,10.10151,2.45867,11.92434,-3.32706,-6.87425,48.59927,-5.15757,-3.05433,-20.82683,9.63296,-8.80154,30.6874,-9.04221,-7.02221,91.22372,2.69865,-2.5759,11.92434,3.32706,6.87425
0.0166666666666666,-1.22314,-0.46969,-13.16433,36.83451,10.08006,2.397,11.97505,-3.32484,-7.00406,48.65803,-5.19319,-2.81222,-20.45349,9.58432,-9.02625,31.61621,-9.14152,-6.62802,91.80195,2.36717,-2.63089,11.97505,3.32484,7.00406
0.02,-1.0444,-0.62161,-13.14956,36.44421,10.03288,2.37289,12.02971,-3.30813,-7.12936,48.68763,-5.25502,-2.59195,-20.09435,9.52726,-9.17731,32.52873,-9.24389,-6.24779,92.30337,2.06258,-2.67442,12.02971,3.30813,7.12936
0.0233333333333333,-0.86658,-0.7409,-13.12459,36.05334,9.96384,2.38216,12.08811,-3.27695,-7.2514,48.68746,-5.33143,-2.39323,-19.7552,9.46521,-9.24662,33.42785,-9.35249,-5.89589,92.72888,1.80351,-2.71268,12.08811,3.27695,7.2514
0.0266666666666666,-0.68544,-0.82231,-13.08615,35.6565,9.87758,2.42059,12.14955,-3.23096,-7.36957,48.66122,-5.41105,-2.22483,-19.44015,9.4026,-9.23264,34.31752,-9.46134,-5.57548,93.08183,1.59607,-2.7582,12.14955,3.23096,7.36957
0.03,-0.50972,-0.87398,-13.03001,35.25051,9.78013,2.48455,12.21384,-3.17021,-7.48434,48.61232,-5.48518,-2.08838,-19.14817,9.3421,-9.14871,35.20322,-9.56095,-5.2833,93.36842,1.4321,-2.82135,12.21384,3.17021,7.48434
0.0333333333333333,-0.34661,-0.91076,-12.946,34.83389,9.67706,2.57131,12.28159,-3.09487,-7.5971,48.5418,-5.55124,-1.98381,-18.8742,9.2818,-9.01492,36.09121,-9.64264,-5.0135,93.59711,1.2921,-2.90527,12.28159,3.09487,7.5971
0.0366666666666666,-0.18897,-0.94358,-12.83108,34.40589,9.57151,2.67653,12.35389,-3.00527,-7.70907,48.44745,-5.61143,-1.90615,-18.61638,9.21756,-8.8404,36.98473,-9.70122,-4.76079,93.77252,1.1543,-3.01038,12.35389,3.00527,7.70907
0.04,-0.01731,-0.9765,-12.695,33.96496,9.46258,2.79308,12.43075,-2.90195,-7.81944,48.32581,-5.66874,-1.84634,-18.37706,9.14678,-8.61936,37.88226,-9.73518,-4.52015,93.89442,1.00453,-3.13742,12.43075,2.90195,7.81944
0.0433333333333333,0.18817,-1.00668,-12.55257,33.5084,9.34551,2.91286,12.51117,-2.785,-7.92563,48.17298,-5.72233,-1.79358,-18.1557,9.07109,-8.35542,38.779,-9.74424,-4.28705,93.96103,0.83531,-3.27583,12.51117,2.785,7.92563
0.0466666666666666,0.43434,-1.02771,-12.41666,33.03239,9.21349,3.02697,12.59306,-2.65464,-8.02471,47.98642,-5.7662,-1.73497,-17.9465,8.99116,-8.06348,39.67027,-9.72884,-4.05683,93.97256,0.64111,-3.40591,12.59306,2.65464,8.02471
0.05,0.71002,-1.03627,-12.29652,32.53317,9.05938,3.12679,12.67438,-2.51137,-8.11389,47.76416,-5.79392,-1.65805,-17.74249,8.90711,-7.75981,40.55202,-9.68851,-3.82678,93.92826,0.41724,-3.50771,12.67438,2.51137,8.11389
0.0533333333333333,0.9875,-1.03473,-12.19879,32.00708,8.87884,3.20635,12.75308,-2.35618,-8.19282,47.50417,-5.80153,-1.55327,-17.54115,8.82043,-7.44603,41.42006,-9.6242,-3.59814,93.82515,0.16424,-3.57466,12.75308,2.35618,8.19282
0.0566666666666666,1.23645,-1.02736,-12.12777,31.4518,8.67115,3.26359,12.82787,-2.19058,-8.2622,47.20325,-5.78883,-1.41737,-17.34035,8.74029,-7.1212,42.26877,-9.53904,-3.37415,93.65821,-0.1103,-3.60797,12.82787,2.19058,8.2622
0.06,1.43288,-1.02031,-12.07962,30.86786,8.44052,3.30145,12.89839,-2.01622,-8.32303,46.8597,-5.758,-1.2566,-17.13955,8.68257,-6.78911,43.09039,-9.43875,-3.15866,93.42117,-0.39078,-3.61284,12.89839,2.01622,8.32303
0.0633333333333333,1.56008,-1.02042,-12.04169,30.25805,8.19519,3.32739,12.96515,-1.83496,-8.37633,46.4747,-5.71307,-1.0857,-16.93981,8.66192,-6.46308,43.877,-9.3302,-2.95355,93.1084,-0.66223,-3.59466,12.96515,1.83496,8.37633
0.0666666666666666,1.60878,-1.03357,-11.99681,29.62657,7.94316,3.34778,13.02882,-1.64842,-8.42105,46.05327,-5.65782,-0.92167,-16.74616,8.67959,-6.14854,44.62317,-9.2159,-2.75806,92.71582,-0.91471,-3.57013,13.02882,1.64842,8.42105
0.07,1.57507,-1.0622,-11.92821,28.97767,7.69014,3.36709,13.09016,-1.4583,-8.45554,45.60204,-5.59479,-0.77838,-16.56742,8.72651,-5.84368,45.32861,-9.09398,-2.57019,92.24261,-1.14686,-3.56108,13.09016,1.4583,8.45554
0.0733333333333333,1.46676,-1.1017,-11.82924,28.31496,7.43773,3.38583,13.14999,-1.26612,-8.47734,45.12617,-5.52468,-0.66166,-16.41159,8.7886,-5.54077,45.9977,-8.95976,-2.38969,91.69253,-1.35951,-3.58722,13.14999,1.26612,8.47734
0.0766666666666666,1.30858,-1.13941,-11.70549,27.64227,7.18459,3.40034,13.20967,-1.07329,-8.48349,44.63004,-5.4467,-0.57069,-16.28157,8.85474,-5.2372,46.63631,-8.80856,-2.21779,91.07188,-1.5536,-3.65912,13.20967,1.07329,8.48349
0.08,1.13336,-1.16075,-11.56793,26.96192,6.9297,3.40718,13.26975,-0.8813,-8.47315,44.11572,-5.36014,-0.50329,-16.17553,8.9167,-4.93798,47.24791,-8.63916,-2.05798,90.38733,-1.73123,-3.77883,13.26975,0.8813,8.47315
0.0833333333333333,0.96299,-1.15695,-11.42455,26.27488,6.67233,3.40331,13.32975,-0.69179,-8.4465,43.58399,-5.26606,-0.45494,-16.08861,8.97014,-4.65469,47.83221,-8.45318,-1.91224,89.64291,-1.89734,-3.94305,13.32975,0.69179,8.4465
0.0866666666666666,0.80347,-1.12408,-11.28166,25.58075,6.41291,3.38768,13.38784,-0.50638,-8.40543,43.03453,-5.16712,-0.41774,-16.01321,9.01656,-4.40438,48.38486,-8.25488,-1.7818,88.8385,-2.05844,-4.14382,13.38784,0.50638,8.40543
0.09,0.65035,-1.05977,-11.14687,24.87977,6.15336,3.36241,13.44246,-0.32665,-8.3544,42.46652,-5.06597,-0.38081,-15.9401,9.0618,-4.20217,48.90094,-8.05082,-1.66734,87.97236,-2.22098,-4.37127,13.44246,0.32665,8.3544
0.0933333333333333,0.49332,-0.96213,-11.03086,24.1731,5.89437,3.32965,13.49314,-0.15276,-8.29718,41.87809,-4.96312,-0.33087,-15.8605,9.11411,-4.05463,49.37724,-7.84614,-1.56983,87.04346,-2.3876,-4.61463,13.49314,0.15276,8.29718
0.0966666666666666,0.32182,-0.83058,-10.94646,23.46339,5.63518,3.28937,13.54082,0.016,-8.23433,41.26593,-4.85751,-0.25391,-15.76964,9.17999,-3.95531,49.814,-7.64346,-1.49098,86.05334,-2.55426,-4.8653,13.54082,-0.016,8.23433
0.1,0.12483,-0.66655,-10.90207,22.75302,5.37497,3.2415,13.58611,0.18012,-8.16567,40.62841,-4.74871,-0.14074,-15.6684,9.26345,-3.89205,50.21273,-7.44551,-1.43411,85.00486,-2.71293,-5.11706,13.58611,-0.18012,8.16567
0.1033333333333333,-0.10483,-0.47477,-10.88997,22.04351,5.11264,3.1858,13.62877,0.33969,-8.09077,39.96917,-4.63843,0.0042,-15.56184,9.36415,-3.85629,50.57394,-7.25315,-1.40306,83.89867,-2.85624,-5.36733,13.62877,-0.33969,8.09077
0.1066666666666666,-0.3692,-0.2614,-10.8886,21.33438,4.84833,3.12443,13.66676,0.49407,-8.0112,39.29638,-4.53088,0.16284,-15.45525,9.47929,-3.85041,50.89499,-7.06621,-1.40147,82.73294,-2.9798,-5.61542,13.66676,-0.49407,8.0112
0.11,-0.66768,-0.03359,-10.87631,20.6256,4.58304,3.06055,13.69796,0.6428,-7.92866,38.62036,-4.43104,0.31405,-15.35146,9.60304,-3.88253,51.17249,-6.88315,-1.43119,81.50507,-3.08263,-5.86052,13.69796,-0.6428,7.92866
0.1133333333333333,-0.9995,0.20222,-10.84193,19.91808,4.31782,2.99534,13.72026,0.78566,-7.84334,37.95052,-4.34229,0.44581,-15.25158,9.72919,-3.95023,51.40257,-6.70079,-1.49178,80.21323,-3.16295,-6.10744,13.72026,-0.78566,7.84334
0.1166666666666666,-1.36218,0.44273,-10.7883,19.21313,4.0516,2.92375,13.73192,0.92304,-7.7532,37.29446,-4.26567,0.56119,-15.15504,9.8528,-4.04155,51.58275,-6.514,-1.58007,78.85857,-3.21823,-6.36192,13.73192,-0.92304,7.7532
0.12,-1.75114,0.68765,-10.72562,18.51023,3.77971,2.83225,13.73131,1.05558,-7.65502,36.65706,-4.19952,0.67604,-15.06128,9.97064,-4.13727,51.71107,-6.31679,-1.69054,77.4436,-3.24458,-6.63306,13.73131,-1.05558,7.65502
0.1233333333333333,-2.1617,0.93725,-10.66157,17.80706,3.49526,2.7024,13.71746,1.18451,-7.54605,36.04,-4.14031,0.80983,-14.96752,10.08318,-4.22365,51.78719,-6.10407,-1.81651,75.97198,-3.23909,-6.92656,13.71746,-1.18451,7.54605
0.1266666666666666,-2.59037,1.19296,-10.60782,17.10082,3.19243,2.51871,13.69086,1.31104,-7.42645,35.44262,-4.08422,0.98634,-14.86904,10.19262,-4.2997,51.81261,-5.87453,-1.95282,74.44801,-3.20088,-7.23914,13.69086,-1.31104,7.42645
0.13,-3.03426,1.45602,-10.56369,16.38811,2.87094,2.2777,13.65221,1.43591,-7.29915,34.86332,-4.02975,1.2082,-14.75861,10.30203,-4.37628,51.7882,-5.63017,-2.09764,72.87453,-3.13105,-7.55814,13.65221,-1.43591,7.29915
0.1333333333333333,-3.49314,1.72824,-10.5224,15.6675,2.53785,1.99446,13.60335,1.55927,-7.16849,34.29998,-3.98007,1.45675,-14.62935,10.41325,-4.46918,51.71491,-5.37573,-2.25418,71.25359,-3.03044,-7.86119,13.60335,-1.55927,7.16849
0.1366666666666666,-3.97041,2.01019,-10.46912,14.94048,2.20372,1.69776,13.54574,1.68065,-7.03834,33.75233,-3.94263,1.69574,-14.4823,10.52357,-4.57825,51.59309,-5.11594,-2.42946,69.58788,-2.8955,-8.12944,13.54574,-1.68065,7.03834
0.14,-4.47181,2.30426,-10.39044,14.21335,1.87629,1.42201,13.48066,1.79949,-6.91241,33.2232,-3.92714,1.88777,-14.32849,10.62522,-4.68872,51.42279,-4.85501,-2.63343,67.88064,-2.72074,-8.34665,13.48066,-1.79949,6.91241
0.1433333333333333,-5.00449,2.61175,-10.28094,13.4963,1.55717,1.19112,13.40978,1.91569,-6.79027,32.71786,-3.94174,2.00904,-14.18666,10.70597,-4.77697,51.20529,-4.59368,-2.87316,66.13432,-2.5039,-8.50073,13.40978,-1.91569,6.79027
0.1466666666666666,-5.57627,2.92984,-10.1392,12.79706,1.24705,1.01187,13.33509,2.02948,-6.66845,32.24019,-3.98681,2.05233,-14.07111,10.75634,-4.82472,50.94246,-4.33124,-3.1521,64.3503,-2.24744,-8.58177,13.33509,-2.02948,6.66845
0.15,-6.19713,3.25114,-9.96402,12.11936,0.95216,0.8782,13.2594,2.14079,-6.54427,31.79059,-4.0525,2.01995,-13.98598,10.77435,-4.82711,50.63729,-4.06951,-3.46952,62.53023,-1.95803,-8.58135,13.2594,-2.14079,6.54427
0.1533333333333333,-6.87896,3.56626,-9.75072,11.4629,0.68184,0.77643,13.18538,2.25002,-6.41456,31.36653,-4.12279,1.91835,-13.92666,10.76759,-4.78952,50.29436,-3.81061,-3.81792,60.67849,-1.64603,-8.49266,13.18538,-2.25002,6.41456
0.1566666666666666,-7.63666,3.86361,-9.49039,10.8266,0.44261,0.69281,13.11479,2.35714,-6.27767,30.96537,-4.18422,1.75621,-13.88653,10.75056,-4.71766,49.91938,-3.55763,-4.18413,58.80178,-1.32465,-8.31297,13.11479,-2.35714,6.27767
0.16,-8.48373,4.12962,-9.17515,10.21063,0.23529,0.61751,13.04878,2.46113,-6.13385,30.58658,-4.23048,1.54425,-13.85924,10.7382,-4.6186,49.51969,-3.31264,-4.54759,56.90858,-1.01201,-8.04682,13.04878,-2.46113,6.13385
0.1633333333333333,-9.42373,4.35218,-8.80438,9.61647,0.05661,0.55117,12.98771,2.56034,-5.98666,30.23208,-4.26374,1.29017,-13.84045,10.74101,-4.50248,49.10293,-3.0768,-4.88183,55.0081,-0.73079,-7.70733,12.98771,-2.56034,5.98666
0.1666666666666666,-10.44303,4.52597,-8.39001,9.04726,-0.09906,0.5005,12.93141,2.65306,-5.84067,29.90638,-4.29135,0.99907,-13.82825,10.76396,-4.38328,48.67688,-2.84794,-5.15472,53.10959,-0.50618,-7.31546,12.93141,-2.65306,5.84067
