cycle,foot,IC_time,TC_time
1,left,0.18,0.4266666666666667
1,right,0.5466666666666666,0.7866666666666666
2,left,0.9233333333333333,1.1633333333333333
2,right,1.29,1.5266666666666666
3,left,1.67,1.9133333333333333
3,right,2.04,2.276666666666667
4,left,2.4133333333333336,2.6566666666666667
4,right,2.7866666666666666,3.0233333333333334
5,left,3.1666666666666665,3.4066666666666667
5,right,3.533333333333333,3.7733333333333334
6,left,3.92,4.16
6,right,4.293333333333333,4.53
7,left,4.676666666666667,4.92
7,right,5.053333333333334,5.303333333333334
8,left,5.44,5.69
8,right,5.816666666666666,6.056666666666667
9,left,6.19,6.443333333333333
9,right,6.566666666666666,6.81
10,left,6.95,7.196666666666666
10,right,7.316666666666666,7.553333333333334
11,left,7.69,7.93
11,right,8.056666666666667,8.296666666666667
12,left,8.436666666666667,8.686666666666667
12,right,8.81,9.046666666666667
13,left,9.19,9.43
13,right,9.563333333333333,9.8
14,left,9.933333333333334,10.176666666666666
14,right,10.303333333333333,10.543333333333333
15,left,10.673333333333334,10.916666666666666
15,right,11.046666666666667,11.283333333333333
16,left,11.42,11.66
16,right,11.79,12.03
17,left,12.16,12.4
17,right,12.53,12.763333333333334
18,left,12.903333333333334,13.143333333333333
18,right,13.27,13.506666666666666
19,left,13.646666666666667,13.89
19,right,14.016666666666667,14.253333333333334
