cycle,foot,IC_time,TC_time
1,right,0.25,0.59
1,left,0.6166666666666667,0.97
2,right,0.9766666666666667,1.3233333333333333
2,left,1.35,1.6966666666666668
3,right,1.7066666666666668,2.05
3,left,2.0833333333333335,2.4366666666666665
4,right,2.4366666666666665,2.776666666666667
4,left,2.8033333333333332,3.1466666666666665
5,right,3.16,3.4966666666666666
5,left,3.5233333333333334,3.8666666666666667
6,right,3.8866666666666667,4.226666666666667
6,left,4.256666666666667,4.596666666666667
7,right,4.6033333333333335,4.943333333333333
7,left,4.97,5.323333333333333
8,right,5.33,5.67
8,left,5.696666666666666,6.056666666666667
9,right,6.053333333333334,6.3966666666666665
9,left,6.42,6.77
10,right,6.78,7.116666666666666
10,left,7.1433333333333335,7.486666666666666
11,right,7.5,7.84
11,left,7.87,8.223333333333333
12,right,8.233333333333333,8.576666666666666
12,left,8.603333333333333,8.953333333333333
13,right,8.95,9.296666666666667
13,left,9.323333333333334,9.676666666666666
14,right,9.683333333333334,10.023333333333333
14,left,10.05,10.393333333333333
15,right,10.403333333333334,10.743333333333334
15,left,10.763333333333334,11.116666666666667
16,right,11.123333333333333,11.46
16,left,11.493333333333334,11.836666666666666
17,right,11.846666666666666,12.19
17,left,12.22,12.57
18,right,12.576666666666666,12.923333333333334
18,left,12.95,13.3
19,right,13.31,13.653333333333334
19,left,13.673333333333334,14.023333333333333
20,right,14.03,14.366666666666667
