cycle,foot,IC_time,TC_time
1,left,0.20666666666666667,0.5533333333333333
1,right,0.57,0.8933333333333333
2,left,0.94,1.2833333333333334
2,right,1.3066666666666666,1.63
3,left,1.6766666666666667,2.006666666666667
3,right,2.033333333333333,2.3533333333333335
4,left,2.4,2.73
4,right,2.763333333333333,3.0766666666666667
5,left,3.13,3.4633333333333334
5,right,3.493333333333333,3.81
6,left,3.8566666666666665,4.196666666666666
6,right,4.23,4.543333333333333
7,left,4.593333333333334,4.926666666666667
7,right,4.956666666666667,5.266666666666667
8,left,5.326666666666667,5.6466666666666665
8,right,5.6866666666666665,5.996666666666667
9,left,6.04,6.37
9,right,6.4,6.713333333333333
10,left,6.77,7.096666666666667
10,right,7.126666666666667,7.44
11,left,7.493333333333333,7.81
11,right,7.8533333333333335,8.18
12,left,8.21,8.54
12,right,8.58,8.893333333333333
13,left,8.94,9.273333333333333
13,right,9.3,9.616666666666667
14,left,9.66,9.986666666666666
14,right,10.016666666666667,10.33
15,left,10.383333333333333,10.703333333333333
15,right,10.746666666666666,11.06
16,left,11.1,11.436666666666667
16,right,11.47,11.79
17,left,11.83,12.153333333333334
17,right,12.193333333333333,12.503333333333334
18,left,12.55,12.876666666666667
18,right,12.913333333333334,13.233333333333333
19,left,13.283333333333333,13.613333333333333
19,right,13.636666666666667,13.96
20,left,13.996666666666666,14.323333333333334
