PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,R_BP X,R_BP Y,R_BP Z,R_AKL_OUT X,R_AKL_OUT Y,R_AKL_OUT Z,R_KNEE_OUT X,R_KNEE_OUT Y,R_KNEE_OUT Z,L_BP X,L_BP Y,L_BP Z,L_AKL_OUT X,L_AKL_OUT Y,L_AKL_OUT Z,L_KNEE_OUT X,L_KNEE_OUT Y,L_KNEE_OUT Z,Unnamed: 96
1122.367,685.955,1150.426,1114.994,717.166,1154.825,1085.729,729.887,1079.396,1080.578,703.091,1071.223,1157.671,543.768,787.533,1222.707,549.915,778.493,1177.164,550.309,699.464,1155.189,545.183,717.739,1008.334,603.097,387.098,1046.517,598.201,383.578,1073.384,614.523,374.635,1000.337,620.496,320.488,847.772,711.684,180.777,819.329,729.35,143.531,830.995,685.55,138.417,1372.637,875.465,788.183,1334.727,886.875,786.285,1362.247,874.571,698.571,1382.507,874.519,719.697,1351.205,838.881,470.969,1344.175,861.753,501.695,1322.36,860.975,525.738,1264.525,853.394,455.683,1049.773,789.759,373.809,1009.474,793.73,356.765,1030.479,826.639,336.877,1092.34,695.257,20.802,910.923,664.028,164.313,1137.036,610.243,522.001,1192.832,834.069,114.104,1103.766,842.23,338.489,1426.586,837.876,591.243,
1123.336,685.683,1153.58,1115.923,716.805,1158.14,1086.505,730.547,1083.689,1081.477,703.197,1074.472,1155.119,543.152,790.772,1220.111,549.555,780.746,1173.262,550.007,702.291,1152.018,543.973,721.188,1001.575,601.877,391.145,1040.122,595.953,388.194,1066.638,613.583,378.298,993.351,619.346,324.234,842.042,711.937,186.223,812.542,728.407,148.772,824.411,684.804,143.337,1373.699,875.036,792.994,1335.908,886.779,790.919,1363.734,874.331,703.321,1383.882,874.132,724.531,1356.034,837.983,472.457,1347.813,860.686,503.654,1325.367,860.003,526.245,1269.923,852.43,454.331,1058.502,789.153,366.202,1018.419,791.822,347.446,1030.479,826.639,336.877,1082.979,694.53,20.157,904.214,663.034,167.882,1130.522,608.94,525.506,1209.269,833.648,110.507,1112.496,840.723,332.959,1428.103,836.943,595.339,
1124.324,685.349,1156.711,1116.659,717.147,1162.682,1087.419,730.636,1087.11,1082.463,703.25,1077.698,1152.727,542.815,794.412,1217.144,548.709,783.162,1169.8,548.873,705.589,1148.405,543.349,724.953,994.718,601.07,395.021,1032.774,595.551,392.286,1059.262,611.239,382.231,986.576,618.164,327.996,836.674,710.881,191.036,806.265,727.609,154.315,818.078,683.69,148.21,1374.689,874.639,797.632,1336.944,886.625,795.388,1365.041,874.062,707.899,1385.104,873.532,729.156,1360.996,837.107,473.986,1351.493,859.851,504.75,1328.164,859.375,526.805,1275.269,851.414,452.892,1066.862,787.619,357.722,1028.391,790.995,338.621,1039.567,824.901,328.004,1073.076,694.422,19.305,897.46,662.073,171.284,1124.153,607.623,529.066,1225.442,834.062,107.553,1121.57,839.552,326.756,1429.084,836.751,599.647,
1125.402,685.027,1159.974,1117.912,716.06,1164.902,1088.441,730.047,1089.709,1083.471,703.284,1081.068,1150.35,542.306,797.946,1214.971,548.553,786.104,1166.524,548.044,709.322,1145.528,542.543,728.267,987.966,599.986,399.115,1026.406,593.309,396.098,1052.652,609.274,386.342,979.873,616.798,331.923,831.565,708.947,195.156,799.645,725.851,159.75,811.762,683.069,153.897,1375.653,874.199,802.316,1338.0,886.775,800.133,1366.19,873.841,712.598,1386.22,873.207,733.934,1366.416,835.077,473.526,1355.269,859.118,504.797,1331.204,858.474,527.098,1280.995,850.359,451.282,1075.644,785.309,348.433,1037.772,788.407,327.815,1048.557,823.217,320.023,1062.925,693.774,18.683,891.586,660.513,174.661,1117.919,606.334,532.699,1242.639,834.058,103.961,1131.715,837.846,319.578,1430.398,835.154,603.535,
1126.426,684.645,1163.122,1118.911,715.679,1168.165,1089.472,729.994,1093.056,1084.471,703.309,1084.279,1148.284,541.75,801.445,1212.742,548.619,788.447,1163.112,546.936,712.845,1142.543,541.801,731.874,981.828,598.975,403.39,1019.818,592.033,400.09,1046.232,607.698,390.189,973.48,615.481,335.751,826.512,707.368,200.288,793.98,725.336,165.434,805.888,682.213,159.231,1376.415,873.831,806.527,1338.851,886.637,804.252,1367.16,873.373,716.845,1387.139,872.768,738.156,1370.946,834.122,474.724,1358.711,858.231,505.618,1333.96,857.514,527.1,1286.34,849.323,449.672,1084.888,784.212,340.39,1046.836,786.504,318.086,1059.723,821.306,309.057,1053.348,693.566,17.988,885.014,659.843,178.599,1111.899,605.042,536.355,1259.078,833.858,101.188,1141.116,837.138,313.485,1431.365,834.228,607.164,
1127.5,684.286,1166.151,1119.961,715.252,1171.384,1090.424,729.936,1096.355,1085.458,703.307,1087.426,1146.341,541.142,804.871,1210.524,548.264,791.409,1160.037,546.209,716.141,1139.667,541.033,735.461,975.551,598.034,407.414,1013.463,590.713,404.019,1040.015,606.114,394.013,967.303,614.19,339.624,821.898,706.175,205.309,788.594,724.412,171.471,800.15,681.679,164.437,1377.071,873.439,810.485,1339.57,886.472,808.176,1367.91,872.965,720.81,1387.85,872.274,742.161,1375.052,834.097,476.35,1361.844,856.962,507.098,1336.64,856.56,526.953,1291.749,848.186,447.859,1094.064,782.605,332.047,1056.646,784.727,308.521,1068.887,819.59,301.317,1043.788,692.641,17.609,879.06,658.669,182.253,1105.964,603.649,540.036,1275.566,833.538,98.628,1150.75,835.673,307.07,1432.125,833.301,610.588,
1128.612,683.91,1169.186,1120.998,714.818,1174.526,1090.982,729.823,1099.909,1086.442,703.329,1090.378,1144.485,540.562,808.284,1208.534,547.949,793.935,1157.023,545.382,719.431,1136.94,540.183,738.953,969.441,596.949,411.338,1007.699,589.33,408.453,1033.97,604.54,397.939,961.352,612.841,343.461,817.477,705.606,209.967,783.01,723.147,177.381,794.495,680.346,170.139,1377.625,873.11,814.199,1340.197,886.283,811.824,1368.515,872.485,724.522,1388.433,872.734,746.12,1379.364,832.997,477.571,1365.494,856.506,507.187,1339.273,855.606,526.635,1297.053,847.163,446.069,1103.426,780.989,323.686,1067.337,783.732,299.038,1079.121,817.96,292.213,1034.129,692.338,16.799,873.35,657.459,185.932,1100.317,602.464,543.824,1292.016,832.767,96.663,1160.663,834.298,300.639,1432.691,832.356,613.759,
1129.721,683.536,1172.064,1122.084,714.415,1177.565,1091.949,729.681,1103.051,1087.484,703.197,1093.387,1142.753,539.946,811.674,1206.593,547.665,796.454,1154.093,544.48,722.661,1134.401,539.252,742.318,963.556,595.903,415.31,1001.758,588.037,412.439,1028.593,603.309,401.704,955.521,611.473,347.346,813.371,704.258,215.051,778.128,722.036,183.522,789.4,679.251,175.72,1378.08,872.749,817.638,1340.696,886.099,815.259,1368.916,871.891,727.952,1388.854,872.163,749.564,1384.5,830.646,478.046,1368.597,855.193,508.118,1341.822,854.689,526.141,1302.139,846.27,444.398,1113.049,779.41,315.384,1077.71,781.859,289.83,1089.827,816.393,282.883,1024.427,692.045,15.881,867.946,656.22,189.617,1094.84,601.321,547.657,1308.721,832.4,94.136,1170.77,832.895,294.227,1433.053,831.373,616.663,
1130.791,683.169,1174.951,1123.179,713.975,1180.547,1093.434,729.504,1105.8,1088.631,702.922,1096.504,1141.167,539.217,814.875,1204.81,547.346,798.944,1151.401,543.647,725.772,1131.964,538.403,745.724,957.505,594.908,418.897,995.63,586.826,416.087,1022.457,601.575,405.867,949.998,610.139,351.206,809.494,702.877,220.176,773.468,720.803,189.791,784.943,678.103,181.522,1378.43,872.404,820.819,1341.054,885.825,818.419,1369.166,871.258,731.131,1389.111,871.54,752.714,1388.353,829.91,478.885,1371.698,854.292,508.32,1344.358,853.792,525.463,1307.36,845.274,442.499,1122.801,777.675,306.784,1088.351,780.016,280.551,1100.593,814.744,273.93,1014.64,691.38,14.726,862.719,654.923,193.305,1089.318,599.953,551.466,1325.157,831.709,92.158,1181.048,831.53,287.856,1433.196,830.377,619.289,
1131.879,682.798,1177.794,1124.231,713.572,1183.458,1094.442,729.31,1108.805,1089.686,702.744,1099.38,1139.711,538.296,817.757,1203.058,547.098,801.359,1148.87,542.99,728.792,1129.696,537.56,748.991,952.011,594.133,422.908,990.079,585.689,420.185,1017.013,600.263,409.796,944.554,608.869,355.18,805.95,701.547,225.284,769.034,719.471,195.931,779.867,676.779,187.121,1378.708,872.078,823.724,1341.359,885.524,821.347,1369.203,870.521,734.062,1389.213,870.898,755.606,1392.058,829.647,478.102,1374.668,853.38,508.0,1346.822,852.956,524.618,1312.539,844.306,440.511,1132.94,776.525,298.801,1099.205,778.34,271.424,1112.081,813.278,264.156,1005.233,691.136,13.692,857.647,653.505,197.015,1084.201,598.819,555.267,1341.803,830.647,90.484,1191.765,829.763,281.107,1433.037,830.069,621.85,
