PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,R_BP X,R_BP Y,R_BP Z,R_AKL_OUT X,R_AKL_OUT Y,R_AKL_OUT Z,R_KNEE_OUT X,R_KNEE_OUT Y,R_KNEE_OUT Z,L_BP X,L_BP Y,L_BP Z,L_AKL_OUT X,L_AKL_OUT Y,L_AKL_OUT Z,L_KNEE_OUT X,L_KNEE_OUT Y,L_KNEE_OUT Z,Unnamed: 96
1358.933,658.4,1073.962,1349.995,688.81,1078.003,1324.717,701.539,1001.584,1321.712,674.463,992.409,1492.948,505.811,693.93,1555.985,517.438,707.955,1537.69,527.301,618.255,1512.245,518.343,627.364,1399.025,559.092,347.121,1437.649,557.451,340.782,1460.296,576.24,327.576,1383.252,573.3,280.7,1197.346,660.251,121.825,1181.111,660.365,88.383,1197.374,626.494,86.208,1600.217,876.769,738.526,1561.618,882.269,732.338,1599.778,872.612,647.953,1617.299,875.096,672.144,1620.788,835.505,415.209,1598.981,847.157,445.671,1573.634,835.793,461.746,1540.231,827.903,377.445,1350.223,741.658,234.726,1328.316,737.959,213.888,1332.682,771.423,203.91,1462.722,643.992,41.317,1266.535,618.819,121.592,1488.67,572.006,463.351,1565.589,798.357,46.665,1403.118,793.978,208.505,1683.296,832.37,544.727,
1359.278,658.326,1075.803,1350.246,688.753,1080.02,1324.912,701.775,1003.644,1321.892,674.734,994.399,1489.903,506.543,694.7,1553.113,518.054,708.058,1533.709,527.956,618.579,1508.351,519.032,627.978,1392.567,559.488,348.472,1431.188,557.735,341.976,1453.744,576.484,328.786,1376.535,573.467,282.229,1190.061,659.933,123.891,1173.617,660.185,90.559,1189.849,626.277,88.083,1601.342,876.761,741.791,1562.813,882.52,735.403,1601.369,872.777,651.187,1618.782,875.168,675.471,1625.154,835.615,416.167,1602.474,847.217,446.164,1576.711,835.875,461.567,1545.495,827.939,376.404,1359.496,741.414,228.294,1337.898,737.893,207.321,1342.562,771.347,197.427,1454.646,644.062,41.268,1259.228,618.643,123.166,1482.853,572.557,464.408,1579.579,798.572,46.339,1412.828,793.918,203.831,1685.042,832.325,547.767,
1359.501,658.224,1077.675,1350.607,688.677,1082.083,1325.228,702.039,1005.719,1322.177,675.04,996.384,1486.943,507.137,695.583,1550.221,518.679,708.322,1529.827,528.693,619.051,1504.385,520.089,628.764,1386.158,559.777,350.127,1424.726,557.958,343.452,1447.279,576.72,330.084,1369.827,573.611,283.904,1182.846,659.546,126.093,1166.018,659.863,93.053,1182.308,626.009,90.172,1602.415,876.772,745.017,1563.958,882.763,738.479,1602.791,872.942,654.447,1620.145,875.172,678.801,1629.336,835.632,417.185,1605.872,847.285,446.553,1579.709,835.984,461.277,1550.755,827.963,375.305,1368.666,741.575,222.642,1347.49,737.74,200.683,1352.644,771.255,190.916,1446.568,644.083,41.179,1251.97,618.432,124.865,1477.129,573.051,465.547,1593.519,798.429,46.266,1422.72,793.865,199.189,1686.32,832.054,551.218,
1359.817,658.139,1079.693,1350.943,688.543,1084.128,1325.623,702.244,1007.848,1322.503,675.28,998.409,1484.016,507.703,696.621,1547.392,519.329,708.618,1526.078,529.155,619.596,1500.709,520.678,629.576,1379.835,559.879,351.876,1418.37,558.158,344.983,1440.889,576.918,331.551,1363.313,573.745,285.676,1175.739,659.164,128.474,1158.772,659.68,95.406,1174.941,625.803,92.344,1603.459,876.825,748.222,1565.096,883.142,741.527,1604.121,873.051,657.626,1621.405,875.166,682.051,1633.367,835.599,418.168,1609.174,847.376,446.806,1582.632,836.179,460.833,1555.975,828.028,374.187,1377.963,741.452,216.5,1357.57,737.833,194.235,1363.055,771.003,184.367,1438.469,644.071,41.139,1244.783,618.196,126.679,1471.493,573.563,466.8,1607.591,798.207,46.213,1432.762,793.808,194.531,1687.703,831.768,554.259,
1360.248,658.045,1081.727,1351.38,688.476,1086.288,1325.976,702.475,1010.063,1322.836,675.544,1000.558,1481.193,508.344,697.678,1544.571,520.056,709.083,1522.354,529.895,620.201,1497.15,521.272,630.446,1373.571,560.114,353.654,1412.081,558.335,346.608,1434.51,577.093,333.092,1356.763,573.769,287.471,1168.703,658.723,130.977,1151.433,659.402,98.087,1167.568,625.549,94.647,1604.435,876.779,751.383,1566.143,883.362,744.571,1605.396,873.215,660.8,1622.599,875.204,685.281,1637.326,835.621,419.025,1612.403,847.497,446.956,1585.448,836.388,460.258,1561.187,828.119,372.922,1387.558,741.447,210.413,1367.73,737.836,187.657,1373.496,770.988,177.821,1430.421,644.134,41.024,1237.667,617.901,128.588,1465.967,573.966,468.159,1621.723,797.885,46.341,1442.933,793.77,189.873,1688.732,831.568,557.195,
1360.644,657.974,1083.772,1351.803,688.397,1088.462,1326.415,702.636,1012.287,1323.303,675.742,1002.637,1478.4,508.987,698.768,1541.938,520.761,709.484,1518.714,530.607,620.93,1493.626,521.9,631.442,1367.411,560.245,355.499,1405.912,558.448,348.334,1428.22,577.167,334.674,1350.306,573.849,289.652,1161.755,658.252,133.574,1144.216,659.169,100.877,1160.233,625.256,97.152,1605.305,876.712,754.503,1567.091,883.536,747.609,1606.494,873.352,663.9,1623.649,875.192,688.437,1641.183,835.617,419.754,1615.511,847.616,447.026,1588.16,836.603,459.555,1566.35,828.216,371.597,1397.288,741.473,204.298,1378.109,737.838,181.003,1384.067,771.179,171.424,1422.412,644.117,40.956,1230.599,617.625,130.624,1460.546,574.325,469.553,1635.876,797.491,46.625,1453.242,793.719,185.249,1689.562,831.258,560.087,
1361.189,657.907,1085.829,1352.325,688.309,1090.621,1326.924,702.788,1014.41,1323.79,676.002,1004.777,1475.737,509.635,699.966,1539.446,521.493,710.011,1515.121,531.283,621.657,1490.256,522.454,632.495,1361.324,560.265,357.604,1399.792,558.519,350.158,1422.06,577.193,336.353,1343.901,573.793,291.657,1154.903,657.708,136.311,1137.05,658.847,103.766,1153.011,624.976,99.677,1606.14,876.709,757.532,1567.98,883.786,750.581,1607.467,873.411,666.953,1624.589,875.099,691.531,1644.942,835.622,420.496,1618.522,848.17,446.951,1590.697,836.581,458.446,1571.489,828.311,370.217,1407.192,741.503,198.234,1388.664,737.876,174.446,1394.932,771.217,164.957,1414.402,644.176,40.853,1223.659,617.286,132.7,1455.213,574.679,471.045,1650.019,796.951,47.072,1463.736,793.687,180.653,1690.19,830.941,562.827,
1361.707,657.827,1087.984,1352.854,688.188,1092.883,1327.475,702.847,1016.481,1324.307,676.166,1006.958,1473.131,510.175,701.266,1537.304,522.087,710.745,1511.684,531.953,622.537,1486.954,522.958,633.579,1355.37,560.188,359.654,1393.775,558.554,352.031,1416.006,577.222,338.105,1337.614,573.675,293.758,1148.161,657.152,139.119,1129.98,658.542,106.773,1145.852,624.628,102.394,1606.868,876.676,760.506,1568.796,884.009,753.488,1608.285,873.432,669.887,1625.437,875.05,694.493,1648.619,835.736,421.207,1621.431,848.328,446.841,1593.271,836.937,457.556,1576.603,828.415,368.799,1417.314,741.538,192.22,1399.435,737.911,167.936,1405.982,771.222,158.55,1406.348,644.055,40.685,1216.766,616.88,134.88,1449.979,574.984,472.601,1664.212,796.36,47.712,1474.357,793.677,176.099,1690.561,830.903,565.491,
1362.266,657.676,1090.078,1353.393,688.04,1095.077,1328.147,702.903,1018.574,1324.975,676.315,1009.106,1470.671,510.717,702.516,1534.92,522.749,711.401,1508.331,532.604,623.388,1483.779,523.479,634.77,1349.519,560.275,361.776,1387.874,558.542,353.989,1410.102,577.316,339.954,1331.424,573.522,295.9,1141.545,656.604,142.072,1123.036,658.232,109.957,1138.828,624.268,105.117,1607.551,876.708,763.35,1569.484,884.211,756.349,1608.929,873.72,672.8,1626.136,874.948,697.384,1652.156,835.728,421.826,1624.239,848.487,446.645,1595.82,837.574,456.65,1581.63,828.485,367.386,1427.579,741.581,186.253,1410.347,737.955,161.532,1417.253,771.241,152.185,1398.498,643.68,40.583,1209.972,616.49,137.122,1444.787,575.62,474.144,1678.451,795.841,48.546,1485.093,793.64,171.608,1690.801,830.586,568.01,
1362.889,657.577,1092.158,1353.974,687.906,1097.319,1329.032,703.103,1021.014,1325.561,676.445,1011.312,1468.292,511.202,703.834,1532.656,523.469,712.096,1505.066,533.253,624.383,1480.717,523.988,636.029,1343.737,560.205,363.954,1382.08,558.463,356.013,1404.265,577.199,341.82,1325.343,573.32,298.13,1135.115,656.098,145.078,1116.219,657.856,113.186,1131.856,623.915,108.013,1608.144,876.741,766.105,1570.126,884.357,759.055,1609.468,873.557,675.58,1626.694,874.789,700.115,1655.55,835.736,422.431,1626.926,848.54,446.375,1598.32,838.247,455.638,1586.611,828.561,365.979,1438.02,741.689,180.39,1421.466,738.005,155.191,1428.692,771.302,145.988,1390.498,643.542,40.439,1203.302,616.038,139.434,1439.81,575.901,475.821,1692.704,795.239,49.577,1495.96,793.64,167.192,1690.896,830.266,570.385,
