PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,R_BP X,R_BP Y,R_BP Z,R_AKL_OUT X,R_AKL_OUT Y,R_AKL_OUT Z,R_KNEE_OUT X,R_KNEE_OUT Y,R_KNEE_OUT Z,L_BP X,L_BP Y,L_BP Z,L_AKL_OUT X,L_AKL_OUT Y,L_AKL_OUT Z,L_KNEE_OUT X,L_KNEE_OUT Y,L_KNEE_OUT Z,Unnamed: 96
923.578,699.417,1168.123,918.894,731.051,1169.931,892.84,740.911,1092.794,885.369,713.649,1086.774,1048.819,553.116,812.376,1110.415,560.051,830.182,1100.094,563.981,737.895,1073.692,559.5,745.659,1019.339,626.383,416.657,1058.611,624.506,417.794,1083.856,644.473,411.909,1016.624,646.474,350.379,862.057,737.97,184.186,851.024,744.753,136.922,863.517,703.736,144.276,1137.481,879.628,875.377,1101.887,896.85,878.176,1126.119,902.353,788.849,1146.397,893.736,808.258,1059.957,851.982,502.025,1076.678,881.05,532.848,1061.054,883.921,561.07,977.243,870.121,529.88,754.707,806.019,569.483,712.406,810.608,573.348,716.513,842.153,555.358,1156.729,712.253,118.185,932.441,688.001,184.176,1127.646,637.641,562.893,757.757,807.499,270.072,773.745,847.586,505.723,1177.467,859.546,574.903,
923.167,699.236,1169.18,918.53,730.841,1170.952,892.191,740.713,1094.288,884.947,713.424,1087.839,1045.573,553.138,812.931,1106.944,559.851,829.643,1096.156,563.479,738.335,1068.614,561.581,745.927,1011.254,625.97,417.769,1050.531,623.936,417.314,1075.697,643.928,411.274,1008.128,645.997,350.253,852.927,738.052,185.317,841.354,745.549,138.395,852.915,703.318,143.904,1138.845,879.64,878.397,1103.24,897.532,880.765,1128.766,902.275,791.68,1148.768,893.81,811.25,1067.161,850.839,505.036,1076.678,881.05,532.848,1067.34,882.783,563.389,984.292,869.378,530.176,760.861,806.239,566.64,718.534,810.917,569.577,723.047,842.438,551.69,1146.85,712.528,117.069,923.219,687.772,184.335,1120.54,636.871,561.795,769.843,807.764,267.154,781.346,847.773,503.245,1184.505,860.463,578.954,
922.882,699.091,1170.289,918.193,730.619,1172.055,891.754,740.537,1095.466,884.533,713.238,1089.003,1041.449,553.253,813.031,1104.543,560.606,828.35,1090.546,564.984,738.349,1063.85,561.673,745.904,1002.888,625.034,416.852,1042.345,623.391,417.034,1067.378,642.958,411.548,999.462,645.369,350.287,843.233,737.009,185.587,831.765,745.014,139.201,844.12,703.105,144.571,1140.162,879.653,881.606,1104.543,896.871,883.237,1131.33,902.32,794.609,1151.047,893.614,814.691,1076.033,852.322,506.119,1079.557,877.076,530.927,1074.592,883.636,565.73,992.049,869.723,531.134,767.195,807.332,564.192,724.905,811.557,565.697,729.509,842.661,547.782,1136.94,712.548,116.293,913.69,687.252,184.302,1113.254,636.309,561.28,782.326,808.405,264.554,789.352,848.319,500.729,1190.918,859.13,582.534,
922.646,698.856,1171.519,917.962,730.44,1173.367,891.811,740.15,1096.54,884.895,713.161,1090.024,1037.944,552.367,813.49,1101.009,559.909,828.425,1086.162,564.843,737.098,1060.603,556.453,746.595,994.8,624.255,416.699,1033.984,622.751,416.886,1058.977,642.841,410.429,990.734,644.839,350.36,833.14,735.626,186.071,821.216,744.913,140.355,833.96,702.462,145.245,1141.486,879.693,885.456,1105.737,896.587,886.238,1134.038,902.321,797.871,1153.697,893.528,818.455,1083.8,850.73,508.142,1090.615,879.317,535.129,1081.527,882.601,567.977,999.875,869.354,531.83,773.551,807.264,560.629,730.582,810.575,560.597,736.584,843.275,543.423,1126.593,712.795,115.561,904.312,686.844,184.409,1105.206,635.619,560.522,795.342,808.495,261.41,797.286,847.995,497.696,1197.677,858.442,586.932,
922.521,698.745,1172.881,917.82,730.324,1174.804,891.421,740.055,1098.016,884.549,713.056,1091.518,1034.145,552.649,814.156,1097.514,559.771,828.111,1081.231,564.819,737.1,1055.853,556.544,746.945,986.432,623.812,417.005,1025.7,622.378,416.83,1050.596,641.849,410.355,982.032,644.337,350.622,824.14,735.058,187.02,811.511,744.443,141.526,824.304,701.941,146.057,1142.71,879.665,889.02,1106.939,896.519,889.237,1136.633,902.175,801.123,1155.965,893.399,821.959,1091.301,850.311,510.461,1098.5,878.807,537.886,1087.939,882.073,570.272,1006.999,869.025,532.498,779.571,807.172,556.924,736.514,810.523,555.896,742.941,842.619,538.704,1116.561,712.89,114.925,894.952,686.414,184.759,1097.543,635.057,560.148,808.119,808.885,258.315,804.532,847.918,494.326,1203.755,857.908,591.316,
922.529,698.604,1174.397,917.767,730.179,1176.36,891.132,740.021,1099.691,884.222,713.045,1093.124,1030.427,552.832,814.982,1094.02,559.725,827.949,1076.226,564.294,737.12,1050.997,556.965,747.469,978.146,623.515,417.412,1017.313,621.915,417.188,1042.24,641.377,410.486,973.145,643.627,350.998,814.761,734.071,188.3,801.816,743.858,142.875,814.841,700.755,146.628,1143.879,879.577,892.738,1108.138,896.486,892.393,1139.215,901.95,804.551,1158.105,893.129,825.818,1098.161,849.603,511.315,1105.274,878.287,540.452,1094.142,881.566,572.635,1013.926,868.647,533.289,785.551,806.931,552.96,742.522,810.3,550.97,749.374,842.412,533.927,1106.426,712.81,114.273,885.579,685.953,185.333,1089.823,634.501,560.018,821.428,809.677,255.525,812.039,847.806,491.028,1209.58,857.342,595.84,
922.581,698.489,1176.008,917.74,730.072,1178.072,890.906,739.994,1101.476,884.018,713.022,1094.906,1026.154,554.507,815.474,1090.526,559.706,827.873,1071.176,564.658,737.649,1045.676,557.592,747.884,969.707,622.89,418.057,1008.827,621.223,417.693,1033.801,640.971,410.812,964.49,643.193,351.625,805.423,733.033,189.729,792.219,743.234,144.445,805.367,700.116,147.707,1145.012,879.377,896.61,1109.333,896.372,895.74,1141.794,901.601,808.275,1160.185,892.809,829.903,1105.408,849.23,513.798,1111.547,876.955,543.893,1100.119,881.012,575.06,1019.722,867.094,534.923,791.527,806.617,548.753,748.451,809.859,545.762,755.575,841.34,529.22,1096.416,713.054,113.719,876.285,685.443,186.024,1082.163,634.11,560.054,834.412,809.937,252.284,819.531,847.601,487.56,1215.247,856.805,600.354,
922.702,698.341,1177.744,917.832,729.905,1179.89,890.681,740.038,1103.444,883.848,713.089,1096.845,1022.295,554.64,816.97,1086.898,560.216,828.253,1066.284,564.953,738.067,1040.897,557.725,748.787,961.358,622.438,418.893,1000.498,620.659,418.185,1025.326,640.617,411.267,955.839,642.708,352.47,796.273,732.054,191.274,782.711,742.66,146.152,795.932,699.51,149.056,1146.072,879.082,900.603,1110.469,896.262,899.258,1144.306,901.089,812.241,1162.51,892.503,833.909,1112.398,848.732,516.308,1117.087,875.955,547.305,1106.118,880.453,576.938,1027.505,867.186,534.749,797.344,806.08,544.238,754.607,809.898,540.576,762.052,840.99,523.994,1086.437,713.227,113.139,867.068,684.889,186.882,1074.517,633.77,560.321,848.02,810.418,249.004,827.016,847.261,483.921,1220.643,856.206,605.051,
922.836,698.197,1179.634,917.915,729.716,1181.818,890.649,740.104,1105.509,883.802,713.091,1098.783,1018.633,554.772,818.267,1083.47,560.259,828.445,1061.45,565.166,738.637,1035.975,558.091,749.987,953.037,621.971,419.867,992.198,620.244,419.084,1017.033,640.183,411.954,947.222,642.193,353.49,787.672,730.822,192.731,773.304,742.045,148.037,786.571,698.843,150.413,1147.105,878.701,904.754,1111.619,896.111,902.938,1146.629,900.586,816.681,1163.979,891.863,838.462,1119.012,847.425,518.569,1123.279,875.353,550.004,1111.389,879.734,579.965,1033.929,866.612,535.441,803.115,804.986,539.155,760.796,809.51,534.69,768.408,840.777,518.334,1076.491,713.4,112.514,857.957,684.313,187.772,1066.973,633.5,560.838,861.425,810.732,245.905,834.552,846.913,480.104,1225.489,855.04,610.624,
922.983,698.06,1181.575,918.058,729.578,1183.916,890.628,740.124,1107.611,883.88,713.154,1100.832,1015.08,554.961,819.755,1080.06,560.375,828.889,1056.616,564.863,739.165,1031.318,558.19,751.198,944.79,621.493,421.069,983.914,619.808,420.05,1008.816,639.837,412.764,938.687,641.648,354.641,778.84,729.752,194.565,764.008,741.392,150.08,777.409,698.223,152.051,1148.097,878.283,909.042,1112.752,895.877,906.785,1148.537,900.315,821.171,1165.89,891.432,842.939,1125.673,846.906,521.177,1129.245,874.724,552.723,1116.692,879.019,582.403,1040.257,865.972,535.991,809.163,804.394,534.223,766.844,808.715,528.767,775.015,840.231,512.622,1066.593,713.565,111.891,848.961,683.699,188.828,1059.612,633.161,561.562,874.627,810.657,242.133,842.12,846.466,476.132,1230.279,854.279,615.711,
