R_ICT X,R_ICT Y,R_ICT Z,L_ICT X,L_ICT Y,L_ICT Z,R_FTC X,R_FTC Y,R_FTC Z,L_FTC X,L_FTC Y,L_FTC Z,PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_FLE X,R_FLE Y,R_FLE Z,R_FME X,R_FME Y,R_FME Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FAL X,R_FAL Y,R_FAL Z,R_TAM X,R_TAM Y,R_TAM Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,R_FM1 X,R_FM1 Y,R_FM1 Z,R_FM5 X,R_FM5 Y,R_FM5 Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_FLE X,L_FLE Y,L_FLE Z,L_FME X,L_FME Y,L_FME Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FAL X,L_FAL Y,L_FAL Z,L_TAM X,L_TAM Y,L_TAM Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,L_FM1 X,L_FM1 Y,L_FM1 Z,L_FM5 X,L_FM5 Y,L_FM5 Z,R_BP X,R_BP Y,R_BP Z,L_BP X,L_BP Y,L_BP Z,Unnamed: 132
1217.96,548.642,1098.993,1211.579,868.334,1108.106,1208.567,530.285,958.47,1212.922,897.191,955.241,1106.967,667.45,1119.809,1094.792,696.099,1125.757,1086.254,716.991,1046.359,1085.403,691.211,1034.788,1228.993,504.989,746.467,1289.939,529.7,750.358,1258.971,527.666,664.258,1237.085,514.629,677.42,1185.921,543.179,517.827,1187.2,650.124,510.325,1132.803,504.493,382.359,1170.521,503.731,393.192,1196.454,521.859,389.429,1146.814,509.565,314.239,1115.617,533.648,111.011,1134.99,620.93,104.659,1050.957,569.714,98.767,1041.24,569.286,63.056,1058.5,536.048,63.775,1255.939,607.124,45.143,1228.329,494.223,49.037,1248.488,912.404,762.32,1214.676,921.725,781.228,1192.122,912.418,691.088,1220.713,913.356,699.271,1193.58,877.487,550.931,1185.31,766.566,516.402,1182.338,893.017,397.77,1150.765,911.577,412.508,1118.759,905.975,412.259,1134.582,897.157,322.912,1117.34,858.724,103.501,1128.951,772.204,111.105,1050.786,820.805,95.323,1042.846,820.857,66.012,1058.322,852.28,61.964,1263.735,779.899,47.604,1233.253,888.587,48.846,1330.24,559.808,57.209,1340.543,826.332,54.623,
1217.791,548.967,1098.996,1211.564,868.348,1108.093,1208.55,530.291,958.471,1212.906,897.209,955.251,1106.913,667.487,1119.828,1094.698,696.045,1125.782,1086.242,716.985,1046.344,1085.389,691.232,1034.766,1228.954,504.752,746.524,1289.976,529.494,750.407,1258.954,527.651,664.256,1236.962,514.779,677.518,1185.891,543.151,517.816,1187.191,650.132,510.329,1132.773,504.503,382.368,1170.454,503.827,393.051,1196.448,521.848,389.425,1146.796,509.569,314.241,1115.719,533.713,111.124,1134.985,620.923,104.663,1050.966,569.693,98.773,1040.659,569.78,63.518,1058.514,536.058,63.781,1255.941,607.125,45.144,1228.329,494.219,49.042,1248.477,912.407,762.322,1214.643,921.72,781.223,1192.113,912.434,691.087,1220.704,913.345,699.259,1193.555,877.48,550.944,1185.298,766.543,516.402,1182.308,893.023,397.753,1150.419,911.213,412.484,1118.781,905.967,412.256,1134.578,897.164,322.905,1117.33,858.735,103.497,1128.931,772.214,111.077,1050.789,820.805,95.296,1042.848,820.852,65.994,1058.311,852.253,61.977,1263.939,779.886,47.573,1233.266,888.591,48.864,1330.243,559.817,57.197,1340.542,826.328,54.637,
1217.904,548.68,1098.991,1211.533,868.379,1108.099,1208.514,530.299,958.465,1212.884,897.211,955.241,1106.892,667.499,1119.818,1094.669,696.055,1125.773,1086.481,716.968,1046.255,1085.37,691.241,1034.76,1228.958,504.964,746.466,1289.904,529.68,750.367,1258.92,527.649,664.248,1236.948,514.799,677.52,1185.871,543.161,517.825,1187.165,650.137,510.331,1132.776,504.495,382.37,1170.438,503.863,393.053,1196.429,521.85,389.431,1146.779,509.575,314.238,1115.603,533.657,110.996,1134.993,620.928,104.655,1050.962,569.714,98.762,1041.249,569.321,63.039,1058.505,536.054,63.788,1255.938,607.112,45.145,1228.333,494.233,49.043,1248.45,912.394,762.315,1214.642,921.727,781.225,1192.107,912.452,691.072,1220.69,913.342,699.278,1193.554,877.495,550.923,1185.286,766.558,516.391,1182.311,893.045,397.75,1150.87,911.636,412.39,1118.754,905.96,412.259,1134.57,897.17,322.9,1117.333,858.731,103.499,1128.924,772.209,111.078,1050.782,820.809,95.284,1042.832,820.849,65.988,1058.308,852.275,61.964,1263.761,779.886,47.587,1233.267,888.588,48.853,1330.242,559.803,57.213,1340.538,826.33,54.626,
1217.736,549.001,1098.994,1211.554,867.717,1108.015,1208.493,530.319,958.465,1212.872,897.229,955.235,1106.87,667.5,1119.813,1095.876,697.143,1125.13,1086.457,717.001,1046.234,1085.418,691.013,1034.837,1228.945,504.729,746.54,1290.183,529.173,750.392,1258.731,527.845,664.22,1236.907,514.794,677.523,1185.877,543.164,517.814,1187.157,650.153,510.313,1132.759,504.515,382.366,1170.415,503.855,393.056,1196.147,521.95,389.404,1146.774,509.573,314.236,1115.583,533.647,111.004,1134.987,620.924,104.656,1050.909,569.908,98.669,1041.254,569.283,63.038,1058.547,536.127,63.767,1255.749,607.117,45.098,1228.178,494.135,49.166,1248.445,912.412,762.327,1214.607,921.758,781.211,1192.096,912.451,691.078,1220.609,913.167,699.552,1193.648,877.524,550.87,1185.293,766.571,516.388,1182.29,893.033,397.75,1150.643,911.476,412.596,1118.755,906.038,412.244,1134.574,897.181,322.899,1117.285,858.674,103.436,1128.409,772.308,111.122,1050.776,820.638,95.259,1042.844,820.845,65.966,1058.276,852.183,61.832,1263.938,779.877,47.574,1233.265,888.596,48.854,1330.191,559.724,57.253,1340.539,826.336,54.644,
1217.72,549.023,1098.995,1211.536,867.734,1108.016,1208.461,530.324,958.471,1212.853,897.229,955.24,1106.894,667.537,1119.834,1095.868,697.168,1125.121,1086.431,716.99,1046.224,1085.381,691.031,1034.819,1228.83,505.283,746.334,1290.121,529.314,750.342,1258.699,527.86,664.239,1236.882,514.814,677.52,1185.853,543.182,517.808,1187.111,650.141,510.326,1132.745,504.511,382.36,1170.418,503.847,393.048,1196.131,521.951,389.403,1146.741,509.58,314.238,1115.603,533.653,110.989,1134.985,620.922,104.657,1050.913,569.865,98.671,1041.247,569.303,63.058,1058.545,536.114,63.75,1255.748,607.109,45.109,1228.178,494.129,49.163,1248.449,912.431,762.322,1214.586,921.752,781.213,1192.087,912.446,691.074,1220.559,913.159,699.595,1193.633,877.535,550.887,1185.273,766.583,516.397,1182.283,893.051,397.75,1150.642,911.486,412.591,1118.736,905.999,412.238,1134.551,897.176,322.886,1117.276,858.681,103.436,1128.384,772.313,111.117,1050.78,820.643,95.258,1042.826,820.857,65.981,1058.263,852.197,61.826,1263.935,779.866,47.569,1233.271,888.591,48.85,1330.197,559.723,57.254,1340.534,826.337,54.646,
1217.693,549.022,1098.988,1211.514,867.734,1108.011,1208.435,530.34,958.463,1212.848,897.239,955.229,1106.873,667.529,1119.82,1095.819,697.18,1125.134,1086.425,717.016,1046.225,1085.378,691.033,1034.825,1228.885,504.846,746.434,1290.142,529.185,750.404,1258.671,527.851,664.239,1236.854,514.812,677.521,1185.835,543.161,517.811,1187.115,650.162,510.318,1132.722,504.513,382.376,1170.385,503.896,393.082,1196.124,521.958,389.42,1146.731,509.584,314.237,1115.592,533.649,110.991,1134.973,620.921,104.643,1050.902,569.852,98.677,1041.253,569.299,63.015,1058.547,536.113,63.753,1255.742,607.118,45.105,1228.186,494.143,49.185,1248.423,912.424,762.319,1214.578,921.767,781.204,1192.07,912.467,691.073,1220.564,913.168,699.594,1193.623,877.522,550.871,1185.277,766.604,516.374,1182.283,893.055,397.736,1150.617,911.473,412.586,1118.735,906.023,412.242,1134.549,897.191,322.89,1117.272,858.686,103.43,1128.396,772.319,111.119,1050.767,820.643,95.243,1042.835,820.848,65.981,1058.268,852.199,61.825,1263.952,779.881,47.577,1233.255,888.592,48.849,1330.184,559.717,57.275,1340.538,826.338,54.642,
1217.652,549.027,1098.991,1211.498,867.744,1108.009,1208.411,530.342,958.466,1212.826,897.243,955.24,1106.851,667.535,1119.811,1095.788,697.177,1125.127,1086.428,717.034,1046.236,1085.374,691.047,1034.805,1228.879,504.844,746.437,1290.116,529.195,750.402,1258.653,527.885,664.211,1236.837,514.824,677.534,1185.829,543.2,517.814,1187.104,650.158,510.324,1132.716,504.521,382.362,1170.381,503.851,393.047,1196.103,521.946,389.399,1146.731,509.586,314.25,1115.586,533.649,110.985,1134.975,620.929,104.649,1050.897,569.884,98.667,1041.237,569.293,63.03,1058.528,536.127,63.771,1255.749,607.115,45.12,1228.174,494.13,49.161,1248.41,912.438,762.318,1214.567,921.769,781.207,1192.061,912.473,691.06,1220.556,913.185,699.57,1193.619,877.543,550.874,1185.245,766.605,516.384,1182.274,893.066,397.722,1150.634,911.501,412.593,1118.721,906.013,412.233,1134.556,897.192,322.888,1117.268,858.692,103.431,1128.395,772.318,111.121,1050.77,820.649,95.241,1042.832,820.859,65.978,1058.271,852.194,61.83,1263.927,779.893,47.58,1233.257,888.601,48.847,1330.184,559.717,57.271,1340.533,826.331,54.644,
1217.638,549.036,1098.991,1211.473,867.754,1108.015,1208.385,530.358,958.458,1212.807,897.255,955.229,1106.851,667.552,1119.81,1095.775,697.2,1125.115,1086.381,717.045,1046.232,1085.317,691.061,1034.81,1228.874,504.941,746.391,1290.079,529.196,750.414,1258.63,527.87,664.227,1236.793,514.826,677.523,1185.798,543.193,517.804,1187.089,650.172,510.32,1132.695,504.515,382.371,1170.371,503.856,393.049,1196.078,521.961,389.423,1146.717,509.592,314.24,1115.579,533.654,110.994,1134.976,620.927,104.657,1050.913,569.855,98.659,1041.228,569.301,63.019,1058.535,536.112,63.748,1255.737,607.106,45.111,1228.18,494.135,49.182,1248.396,912.45,762.318,1214.557,921.786,781.196,1192.059,912.49,691.063,1220.598,913.236,699.51,1193.612,877.534,550.838,1185.223,766.591,516.397,1182.266,893.061,397.738,1150.619,911.5,412.59,1118.704,906.02,412.236,1134.543,897.197,322.881,1117.269,858.692,103.433,1128.372,772.321,111.116,1050.753,820.656,95.266,1042.839,820.863,65.965,1058.272,852.201,61.83,1263.931,779.879,47.591,1233.254,888.602,48.854,1330.175,559.717,57.285,1340.528,826.324,54.649,
1217.59,549.048,1098.997,1211.458,867.761,1108.014,1208.351,530.372,958.463,1212.792,897.255,955.238,1106.802,667.583,1119.757,1096.252,697.576,1124.965,1086.423,717.105,1046.232,1085.324,691.085,1034.811,1228.739,505.276,746.321,1289.999,529.324,750.335,1258.598,527.864,664.243,1236.775,514.835,677.526,1185.784,543.194,517.813,1187.058,650.166,510.316,1132.67,504.537,382.37,1170.354,503.869,393.062,1196.069,521.956,389.427,1146.705,509.578,314.243,1115.579,533.646,110.976,1134.973,620.927,104.652,1050.904,569.88,98.658,1041.237,569.295,63.028,1058.54,536.111,63.742,1255.729,607.111,45.113,1228.174,494.129,49.161,1248.396,912.45,762.314,1214.547,921.78,781.201,1192.045,912.481,691.064,1220.559,913.187,699.547,1193.606,877.566,550.87,1185.233,766.613,516.389,1182.261,893.075,397.723,1150.615,911.517,412.589,1118.713,906.047,412.234,1134.539,897.202,322.88,1117.266,858.698,103.429,1128.36,772.323,111.114,1050.754,820.653,95.241,1042.834,820.849,65.954,1058.275,852.217,61.83,1263.935,779.885,47.606,1233.253,888.582,48.838,1330.231,559.797,57.247,1340.527,826.335,54.652,
1217.59,549.058,1098.992,1211.434,867.765,1108.008,1208.316,530.383,958.459,1212.786,897.28,955.23,1106.736,667.584,1119.764,1096.232,697.59,1124.947,1086.326,717.114,1046.252,1085.264,691.094,1034.817,1228.796,504.873,746.451,1290.03,529.21,750.428,1258.569,527.877,664.222,1236.742,514.834,677.529,1185.772,543.23,517.82,1187.058,650.164,510.327,1132.655,504.544,382.367,1170.344,503.869,393.063,1196.066,521.953,389.42,1146.693,509.595,314.241,1115.565,533.646,110.992,1134.97,620.92,104.651,1050.887,569.872,98.664,1041.256,569.288,63.013,1058.54,536.115,63.763,1255.749,607.112,45.119,1228.175,494.134,49.176,1248.376,912.457,762.315,1214.536,921.795,781.206,1192.036,912.498,691.066,1220.535,913.243,699.555,1193.6,877.576,550.873,1185.226,766.609,516.397,1182.247,893.075,397.734,1150.612,911.512,412.576,1118.707,906.047,412.233,1134.534,897.209,322.88,1117.274,858.695,103.422,1128.379,772.324,111.115,1050.765,820.654,95.247,1042.821,820.863,65.968,1058.259,852.186,61.807,1263.922,779.88,47.577,1233.262,888.61,48.86,1330.173,559.715,57.287,1340.54,826.338,54.669,
