R_ICT X,R_ICT Y,R_ICT Z,L_ICT X,L_ICT Y,L_ICT Z,R_FTC X,R_FTC Y,R_FTC Z,L_FTC X,L_FTC Y,L_FTC Z,PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_FLE X,R_FLE Y,R_FLE Z,R_FME X,R_FME Y,R_FME Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FAL X,R_FAL Y,R_FAL Z,R_TAM X,R_TAM Y,R_TAM Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,R_FM1 X,R_FM1 Y,R_FM1 Z,R_FM5 X,R_FM5 Y,R_FM5 Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_FLE X,L_FLE Y,L_FLE Z,L_FME X,L_FME Y,L_FME Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FAL X,L_FAL Y,L_FAL Z,L_TAM X,L_TAM Y,L_TAM Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,L_FM1 X,L_FM1 Y,L_FM1 Z,L_FM5 X,L_FM5 Y,L_FM5 Z,R_BP X,R_BP Y,R_BP Z,L_BP X,L_BP Y,L_BP Z,Unnamed: 132
1096.832,533.667,1130.152,1084.675,837.134,1128.002,1092.671,506.93,976.017,1084.759,862.239,960.276,995.738,654.336,1146.368,987.927,685.565,1149.315,969.49,696.667,1070.272,964.903,669.601,1061.946,1071.992,475.057,810.762,1137.158,483.993,807.403,1100.545,466.146,725.813,1077.478,463.135,741.741,1066.96,486.672,540.402,1051.025,590.837,526.086,995.259,448.299,374.872,1031.655,444.614,388.834,1059.057,461.817,387.752,1015.198,453.77,308.04,1005.552,471.744,110.407,1021.721,557.344,125.443,940.806,514.269,102.917,933.634,522.75,54.6,945.741,482.037,62.467,1144.159,546.902,62.809,1120.539,444.691,49.897,1145.272,862.762,835.835,1115.835,882.889,855.003,1094.809,883.17,764.853,1121.899,873.672,772.045,1036.467,855.319,539.838,1032.7,751.66,518.448,1051.576,860.988,395.627,1024.741,885.37,411.252,993.033,887.429,410.656,1007.098,881.142,321.315,1003.099,862.585,109.878,1018.523,777.435,122.603,941.369,819.309,99.841,931.621,821.54,57.461,949.025,854.472,58.598,1152.232,785.046,54.603,1118.829,891.59,47.42,1239.666,493.458,51.968,1239.846,839.255,54.614,
1096.806,533.627,1130.149,1084.641,837.121,1128.008,1092.589,506.867,976.041,1084.726,862.218,960.281,995.728,654.395,1146.526,987.864,685.518,1149.324,969.343,697.046,1070.572,964.871,669.579,1061.968,1071.96,475.047,810.771,1137.156,483.99,807.419,1100.541,466.128,725.797,1077.464,463.124,741.753,1066.949,486.662,540.401,1051.016,590.825,526.079,995.133,448.12,374.7,1031.634,444.619,388.826,1059.053,461.827,387.752,1015.188,453.772,308.031,1005.541,471.74,110.409,1021.72,557.336,125.44,940.813,514.262,102.914,932.65,522.81,55.054,945.74,482.045,62.465,1144.152,546.901,62.819,1120.557,444.676,49.905,1145.245,862.75,835.85,1115.83,882.876,855.005,1094.799,883.175,764.867,1121.872,873.64,772.048,1036.465,855.317,539.823,1032.664,751.647,518.435,1051.564,860.971,395.624,1024.744,885.372,411.253,993.039,887.43,410.652,1007.098,881.137,321.304,1003.101,862.443,109.835,1018.515,777.439,122.608,941.385,819.305,99.832,931.637,821.559,57.449,949.014,854.455,58.582,1152.235,785.047,54.628,1118.834,891.596,47.431,1239.66,493.464,51.97,1239.841,839.243,54.614,
1096.775,533.614,1130.156,1084.603,837.114,1128.009,1092.588,506.887,976.052,1084.696,862.205,960.277,995.718,654.369,1146.516,987.83,685.506,1149.33,969.051,697.079,1070.741,965.87,670.258,1062.914,1071.951,475.025,810.733,1137.121,483.96,807.432,1100.616,465.634,725.541,1077.033,463.178,741.605,1066.942,486.654,540.388,1051.01,590.826,526.071,995.248,448.264,374.855,1031.63,444.608,388.816,1059.042,461.82,387.748,1015.188,453.769,308.028,1005.541,471.751,110.4,1021.391,557.348,125.363,940.908,514.381,102.879,933.599,522.747,54.572,945.729,482.039,62.465,1144.148,546.892,62.791,1120.549,444.674,49.917,1145.228,862.838,836.053,1115.808,882.876,855.014,1094.773,883.163,764.855,1121.843,873.645,772.082,1036.458,855.298,539.827,1032.682,751.64,518.437,1051.565,860.959,395.618,1024.735,885.354,411.236,993.046,887.427,410.658,1007.088,881.128,321.298,1003.089,862.562,109.864,1018.51,777.435,122.597,941.369,819.292,99.823,931.63,821.564,57.462,949.017,854.462,58.586,1152.215,785.045,54.629,1118.837,891.592,47.427,1239.666,493.46,51.979,1239.84,839.251,54.624,
1096.729,533.616,1130.161,1084.586,837.018,1128.101,1092.097,506.268,977.826,1084.662,862.2,960.291,995.656,654.357,1146.508,987.847,685.507,1149.298,968.978,697.062,1070.776,964.771,669.52,1061.987,1071.921,474.946,810.503,1137.164,483.636,807.677,1100.72,466.033,725.688,1077.242,463.296,741.821,1066.528,486.564,540.219,1050.795,590.087,526.849,995.115,448.109,374.677,1031.607,444.4,388.568,1059.143,461.323,387.824,1015.303,453.708,307.997,1005.538,471.713,110.355,1021.363,557.333,125.344,941.011,514.05,102.833,932.608,522.805,55.091,945.867,482.088,62.289,1144.161,546.889,62.789,1120.557,444.667,49.911,1145.148,862.842,835.588,1115.7,882.23,854.97,1094.723,883.111,764.873,1121.912,873.895,772.356,1036.452,855.293,539.821,1032.696,751.628,518.415,1052.273,861.254,394.699,1025.317,886.994,411.683,993.02,887.416,410.651,1007.097,881.131,321.313,1003.302,862.332,109.613,1018.103,777.166,122.547,941.334,819.084,99.737,931.649,821.568,57.449,949.021,854.464,58.576,1151.966,784.831,54.304,1118.828,891.593,47.432,1239.662,493.463,51.977,1239.829,839.268,54.596,
1096.693,533.595,1130.165,1084.553,837.009,1128.108,1092.084,506.253,977.844,1084.62,862.182,960.285,995.63,654.351,1146.503,987.74,685.486,1149.319,969.252,697.034,1070.579,964.764,669.545,1061.924,1071.908,474.925,810.476,1137.159,483.646,807.675,1100.693,466.025,725.696,1077.229,463.29,741.809,1066.496,486.553,540.217,1050.77,590.076,526.844,995.088,448.105,374.68,1031.616,444.366,388.576,1059.145,461.318,387.82,1015.304,453.706,307.998,1005.531,471.72,110.402,1021.359,557.339,125.346,940.946,513.917,102.855,932.575,522.792,55.087,945.865,482.085,62.283,1144.151,546.893,62.806,1120.552,444.658,49.917,1145.127,862.848,835.613,1115.669,882.229,854.976,1094.7,883.099,764.865,1121.906,873.876,772.346,1036.44,855.284,539.819,1032.687,751.628,518.412,1052.279,861.261,394.72,1025.313,886.992,411.682,993.026,887.41,410.644,1007.072,881.109,321.292,1003.313,862.327,109.606,1018.097,777.169,122.547,941.351,819.08,99.747,931.61,821.549,57.434,949.017,854.458,58.559,1151.95,784.839,54.307,1118.832,891.59,47.426,1239.658,493.46,51.98,1239.829,839.26,54.609,
1096.661,533.598,1130.165,1084.505,836.996,1128.105,1092.041,506.252,977.838,1084.584,862.156,960.288,995.587,654.333,1146.521,987.722,685.462,1149.319,969.191,697.016,1070.554,964.711,669.521,1061.923,1071.892,474.925,810.513,1137.111,483.614,807.672,1100.687,466.014,725.673,1077.19,463.318,741.815,1066.474,486.552,540.219,1050.758,590.075,526.844,995.1,448.098,374.676,1031.608,444.354,388.547,1059.126,461.321,387.824,1015.278,453.699,307.997,1005.525,471.734,110.402,1021.364,557.332,125.35,940.943,513.912,102.846,932.549,522.782,55.092,945.834,482.081,62.272,1144.147,546.885,62.8,1120.56,444.669,49.92,1145.104,862.832,835.602,1115.649,882.208,854.978,1094.683,883.086,764.871,1121.908,873.885,772.34,1036.443,855.274,539.822,1032.67,751.613,518.405,1052.269,861.259,394.713,1025.313,886.973,411.692,993.011,887.399,410.638,1007.081,881.12,321.295,1003.3,862.331,109.605,1018.092,777.164,122.547,941.338,819.07,99.718,931.626,821.535,57.428,949.023,854.474,58.579,1151.961,784.844,54.295,1118.825,891.599,47.435,1239.658,493.471,51.998,1239.815,839.274,54.606,
1096.634,533.604,1130.153,1084.459,836.989,1128.114,1092.027,506.242,977.838,1084.549,862.17,960.296,995.538,654.328,1146.516,987.69,685.449,1149.306,969.188,697.02,1070.553,964.645,669.488,1061.932,1071.874,474.916,810.483,1137.094,483.611,807.678,1100.685,466.002,725.683,1077.161,463.292,741.82,1066.465,486.552,540.205,1050.749,590.061,526.844,995.079,448.097,374.664,1031.602,444.355,388.565,1059.134,461.295,387.827,1015.274,453.691,307.983,1005.51,471.732,110.399,1021.353,557.337,125.346,940.951,513.92,102.833,932.558,522.774,55.082,945.857,482.088,62.274,1144.151,546.878,62.805,1120.559,444.653,49.921,1145.083,862.828,835.602,1115.613,882.206,854.988,1094.66,883.08,764.871,1121.855,873.874,772.369,1036.43,855.275,539.823,1032.657,751.607,518.413,1052.266,861.247,394.706,1025.295,886.957,411.676,993.015,887.404,410.643,1007.072,881.121,321.292,1003.302,862.339,109.601,1018.093,777.177,122.534,941.335,819.086,99.731,931.621,821.566,57.438,948.999,854.461,58.554,1151.963,784.827,54.313,1118.832,891.601,47.435,1239.646,493.467,52.001,1239.823,839.274,54.615,
1096.594,533.585,1130.165,1084.424,836.978,1128.114,1091.987,506.227,977.824,1084.525,862.134,960.296,995.49,654.31,1146.51,987.645,685.425,1149.299,968.847,697.009,1070.747,964.607,669.47,1061.959,1071.836,474.92,810.486,1137.064,483.604,807.669,1100.651,465.997,725.671,1077.151,463.283,741.812,1066.452,486.543,540.203,1050.728,590.062,526.843,995.086,448.105,374.663,1031.583,444.352,388.548,1059.124,461.306,387.807,1015.263,453.688,308.001,1005.507,471.724,110.4,1021.345,557.326,125.344,940.93,513.905,102.837,932.586,522.789,55.081,945.855,482.072,62.25,1144.155,546.889,62.82,1120.546,444.653,49.917,1145.052,862.821,835.621,1115.603,882.184,854.998,1094.643,883.082,764.885,1121.841,873.861,772.366,1036.424,855.261,539.822,1032.68,751.606,518.411,1052.237,861.249,394.71,1025.278,886.955,411.667,992.99,887.38,410.634,1007.08,881.09,321.289,1003.226,862.406,109.629,1018.084,777.17,122.541,941.326,819.088,99.732,931.616,821.563,57.439,949.003,854.474,58.57,1151.939,784.841,54.317,1118.827,891.592,47.446,1239.649,493.463,51.99,1239.834,839.261,54.625,
1096.562,533.561,1130.169,1084.384,836.965,1128.124,1091.969,506.217,977.824,1084.488,862.134,960.298,995.459,654.271,1146.489,987.599,685.409,1149.3,968.808,696.999,1070.751,964.564,669.451,1061.958,1071.811,474.911,810.463,1137.043,483.604,807.673,1100.621,465.992,725.677,1077.114,463.265,741.788,1066.447,486.535,540.211,1050.719,590.052,526.843,995.073,448.102,374.663,1031.59,444.364,388.542,1059.106,461.285,387.82,1015.265,453.681,307.986,1005.52,471.714,110.348,1021.337,557.34,125.337,940.988,514.027,102.789,932.584,522.783,55.079,945.835,482.074,62.254,1144.149,546.876,62.822,1120.537,444.669,49.918,1145.04,862.818,835.622,1115.549,882.18,854.998,1094.617,883.049,764.882,1121.841,873.871,772.362,1036.411,855.256,539.822,1032.658,751.595,518.405,1052.224,861.233,394.699,1025.293,886.938,411.663,992.993,887.39,410.629,1007.056,881.081,321.283,1003.298,862.339,109.597,1018.063,777.183,122.535,941.317,819.085,99.725,931.615,821.574,57.42,948.999,854.463,58.547,1151.947,784.834,54.321,1118.829,891.594,47.447,1239.647,493.461,52.014,1239.82,839.266,54.644,
1096.514,533.549,1130.169,1084.334,836.955,1128.123,1091.927,506.22,977.834,1084.453,862.113,960.298,995.414,654.272,1146.497,987.582,685.392,1149.287,968.773,696.999,1070.741,964.518,669.416,1061.954,1071.8,474.893,810.468,1137.028,483.584,807.68,1100.594,465.99,725.676,1077.127,463.254,741.801,1066.43,486.521,540.196,1050.699,590.046,526.842,995.052,448.082,374.654,1031.575,444.338,388.551,1059.102,461.288,387.804,1015.26,453.689,307.984,1005.503,471.723,110.37,1021.335,557.327,125.336,940.927,513.901,102.824,932.582,522.802,55.057,945.859,482.075,62.249,1144.143,546.887,62.817,1120.536,444.662,49.919,1145.006,862.808,835.637,1115.529,882.166,854.993,1094.595,883.049,764.887,1121.789,873.85,772.376,1036.399,855.246,539.823,1032.653,751.593,518.413,1052.222,861.232,394.716,1025.269,886.937,411.663,992.971,887.364,410.638,1007.058,881.074,321.283,1003.295,862.338,109.604,1018.067,777.178,122.537,941.312,819.093,99.731,931.624,821.539,57.41,948.992,854.457,58.554,1151.947,784.854,54.317,1118.827,891.592,47.439,1239.642,493.471,52.011,1239.82,839.257,54.64,
