PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,R_BP X,R_BP Y,R_BP Z,R_AKL_OUT X,R_AKL_OUT Y,R_AKL_OUT Z,R_KNEE_OUT X,R_KNEE_OUT Y,R_KNEE_OUT Z,L_BP X,L_BP Y,L_BP Z,L_AKL_OUT X,L_AKL_OUT Y,L_AKL_OUT Z,L_KNEE_OUT X,L_KNEE_OUT Y,L_KNEE_OUT Z,Unnamed: 96
1178.705,649.226,1148.479,1166.276,677.577,1156.549,1140.697,697.961,1081.56,1140.504,672.083,1069.11,1351.931,514.836,759.69,1409.502,535.575,784.086,1407.938,536.205,692.269,1382.05,525.064,697.44,1231.239,540.457,503.659,1257.162,539.976,474.617,1266.077,558.227,449.588,1176.22,549.628,460.978,947.156,618.209,452.363,910.795,623.546,447.796,913.806,588.758,432.822,1393.245,873.977,816.049,1354.496,882.452,814.296,1379.938,863.62,726.408,1400.961,866.18,747.937,1437.786,812.681,456.161,1408.638,831.761,475.225,1377.798,826.188,482.33,1375.365,807.351,392.761,1228.13,713.872,192.164,1220.212,713.774,162.702,1232.145,746.796,159.595,1011.529,594.296,178.965,982.477,573.765,398.318,1364.027,568.938,536.189,1516.619,747.981,163.07,1293.764,760.717,202.316,1450.585,817.137,611.965,
1178.365,649.096,1147.585,1165.859,677.374,1155.612,1140.189,697.793,1080.761,1140.145,671.954,1068.217,1355.426,514.757,759.781,1412.527,535.954,785.049,1412.336,536.295,693.155,1386.337,525.362,697.803,1237.869,540.585,503.894,1263.831,540.127,474.904,1272.642,558.148,450.262,1182.878,549.709,461.138,953.616,618.579,451.998,917.153,623.797,447.196,920.355,588.945,432.453,1391.255,874.605,813.738,1352.331,882.801,812.579,1377.119,863.99,724.588,1398.32,866.695,745.893,1433.299,813.141,454.112,1404.336,832.309,473.345,1373.502,826.716,480.761,1370.281,807.645,391.323,1221.044,713.81,191.9,1213.158,713.731,162.451,1224.939,746.989,159.284,1019.823,593.332,179.19,989.484,572.807,398.797,1370.46,569.109,536.564,1509.395,748.043,162.03,1286.746,760.801,201.836,1447.262,817.516,609.618,
1178.07,648.95,1146.735,1165.515,677.235,1154.862,1139.801,697.66,1079.987,1139.769,671.788,1067.411,1358.816,514.655,760.16,1415.411,536.364,786.118,1416.701,536.414,694.315,1390.831,525.344,698.684,1244.487,540.747,504.229,1270.496,540.305,475.289,1279.357,558.358,450.665,1189.606,549.84,461.356,959.839,618.921,451.486,923.508,623.962,446.318,926.928,589.16,431.784,1389.043,875.163,811.831,1350.089,883.192,810.954,1374.252,864.448,722.825,1395.637,867.274,743.923,1428.725,813.615,452.133,1399.869,832.944,471.673,1369.136,827.299,479.249,1365.156,807.969,389.913,1213.996,713.745,191.715,1206.028,713.643,162.251,1217.798,746.896,159.049,1028.446,592.501,179.34,996.223,574.399,398.124,1376.892,569.323,537.11,1502.202,748.125,161.003,1279.769,760.886,201.356,1443.941,818.157,607.458,
1177.782,648.806,1145.995,1165.16,677.027,1154.118,1139.253,697.492,1079.341,1139.276,671.662,1066.746,1362.341,514.609,760.594,1418.06,536.275,787.811,1421.21,536.178,695.477,1395.121,525.296,699.486,1251.084,540.981,504.591,1277.198,540.502,475.739,1286.216,558.853,450.769,1196.382,550.087,461.56,966.377,619.207,450.721,930.166,624.157,445.092,933.556,589.286,431.053,1386.325,876.122,809.989,1347.514,883.915,809.313,1371.068,864.914,721.039,1392.614,867.904,742.017,1423.657,814.101,450.032,1394.896,833.113,469.762,1364.386,827.899,477.658,1359.498,808.307,388.46,1206.698,713.705,191.463,1198.2,713.514,162.091,1210.294,746.9,158.767,1037.665,591.747,179.31,1003.459,573.209,398.354,1383.398,569.662,537.919,1494.677,748.198,159.96,1272.228,760.681,200.723,1440.321,818.915,605.281,
1177.416,648.673,1145.398,1164.765,676.851,1153.583,1138.834,697.331,1078.784,1138.828,671.479,1066.184,1365.781,514.634,761.217,1421.131,536.729,789.283,1425.436,536.991,696.937,1399.484,525.369,700.607,1257.625,541.191,505.07,1283.863,540.729,476.329,1292.993,559.016,451.438,1203.073,550.314,461.64,972.717,619.487,449.717,936.624,624.269,443.784,940.207,589.404,429.869,1383.94,876.743,808.365,1345.085,884.354,807.975,1368.038,865.476,719.541,1389.722,868.54,740.341,1418.766,814.621,448.156,1390.2,833.698,468.062,1359.845,828.57,476.734,1354.137,808.653,387.122,1199.613,713.641,191.288,1190.991,713.455,161.961,1203.082,746.825,158.616,1046.984,591.187,179.152,1010.491,573.174,397.876,1389.701,569.874,538.963,1487.405,748.23,159.007,1265.194,760.766,200.292,1436.944,819.479,603.393,
1177.053,648.529,1144.905,1164.394,676.677,1153.065,1138.355,697.164,1078.298,1138.463,671.276,1065.721,1369.267,514.688,762.011,1423.919,537.409,790.687,1429.614,537.864,698.258,1403.772,525.612,701.886,1264.164,541.459,505.612,1290.514,541.003,477.006,1299.766,559.282,452.173,1209.825,550.484,461.855,979.133,619.739,448.539,943.096,624.412,442.211,946.896,589.485,428.404,1381.423,877.35,806.931,1342.569,884.855,806.8,1364.924,866.068,718.201,1386.752,869.191,738.849,1413.823,815.163,446.286,1385.382,834.266,466.395,1355.105,829.111,475.337,1348.687,808.977,385.834,1192.479,713.621,191.154,1183.769,713.394,161.838,1195.704,746.777,158.593,1056.414,590.551,178.975,1017.627,573.337,397.213,1395.995,570.172,540.111,1480.097,748.334,158.127,1258.092,760.823,199.895,1433.42,820.134,601.636,
1176.807,648.424,1144.532,1164.026,676.556,1152.689,1137.875,696.946,1077.988,1138.043,671.059,1065.361,1372.596,514.738,763.008,1426.745,537.911,792.214,1433.779,538.148,700.086,1408.013,525.72,703.404,1270.627,541.723,506.224,1297.165,541.276,477.742,1306.578,559.516,453.072,1216.569,550.723,462.155,985.526,619.88,447.187,949.55,624.496,440.363,953.631,589.617,426.73,1378.843,877.961,805.616,1339.972,885.332,805.785,1361.772,866.64,717.008,1383.827,869.741,737.472,1408.754,815.705,444.52,1380.343,834.945,464.943,1350.042,829.771,473.949,1343.112,809.332,384.615,1185.332,713.584,191.061,1176.509,713.366,161.752,1188.43,746.759,158.467,1066.151,590.184,178.658,1024.829,573.492,396.302,1402.235,570.517,541.514,1472.713,748.376,157.22,1250.982,760.909,199.537,1429.587,820.993,599.985,
1176.513,648.309,1144.195,1163.678,676.411,1152.42,1137.454,696.702,1077.694,1137.569,670.888,1065.103,1375.877,514.908,764.14,1429.51,538.376,794.111,1437.869,538.323,702.244,1412.104,525.926,705.066,1277.054,541.983,506.907,1303.787,541.577,478.63,1313.351,559.842,454.019,1223.297,550.954,462.461,991.957,620.034,445.591,956.066,624.579,438.319,960.427,589.352,424.951,1376.201,878.537,804.456,1337.313,885.789,804.915,1358.485,867.2,715.975,1380.684,870.431,736.129,1403.543,816.262,442.85,1375.259,835.505,463.4,1344.922,830.353,472.257,1337.447,809.687,383.45,1178.128,713.603,190.946,1168.907,713.862,161.525,1181.16,746.693,158.313,1076.182,590.109,178.201,1032.026,573.497,395.252,1408.456,570.845,543.056,1465.335,748.468,156.393,1243.826,761.025,199.176,1425.684,821.72,598.39,
1176.205,648.198,1144.012,1163.331,676.28,1152.218,1136.875,696.506,1077.538,1137.137,670.675,1064.902,1379.125,515.035,765.495,1432.152,538.901,796.162,1441.778,538.414,704.703,1416.106,526.138,706.948,1283.452,542.297,507.678,1310.388,541.919,479.609,1320.142,560.145,455.08,1230.015,551.204,462.803,998.399,620.191,443.777,962.58,624.607,436.009,967.32,589.502,422.651,1373.526,879.101,803.374,1334.624,886.263,804.154,1355.163,867.786,715.046,1377.474,871.106,734.897,1398.289,816.816,441.277,1370.09,836.095,461.976,1339.573,830.972,470.768,1331.663,810.075,382.362,1170.924,713.597,190.842,1161.963,713.308,161.602,1173.99,746.685,158.061,1086.553,589.943,177.607,1039.31,573.672,394.031,1414.55,571.235,544.841,1457.942,748.521,155.606,1236.647,761.852,199.093,1421.586,822.48,596.844,
1175.896,648.078,1143.926,1162.962,676.18,1152.101,1136.446,696.301,1077.436,1136.749,670.452,1064.845,1382.307,515.213,766.964,1434.962,539.435,798.38,1445.554,538.716,707.028,1419.978,526.31,709.003,1289.752,542.632,508.487,1316.946,542.263,480.675,1326.971,560.498,456.234,1236.719,551.484,463.031,1004.838,620.351,441.865,969.172,624.558,433.56,974.087,589.826,420.123,1370.823,879.62,802.406,1331.912,886.705,803.466,1351.759,868.319,714.208,1374.24,871.725,733.795,1392.844,817.37,439.776,1364.779,836.669,460.63,1334.635,831.357,469.506,1325.798,810.469,381.336,1163.696,713.656,190.778,1154.647,713.312,161.588,1166.67,746.703,157.973,1096.992,590.344,177.012,1046.639,574.255,392.425,1420.527,571.618,546.733,1450.527,748.561,154.802,1229.503,761.955,198.814,1417.274,823.201,595.344,
1175.593,648.012,1143.929,1162.656,676.092,1152.087,1136.03,696.073,1077.459,1136.35,670.202,1064.865,1385.312,515.444,768.634,1437.437,539.977,800.778,1449.292,538.93,709.639,1423.548,526.545,711.195,1295.495,543.923,509.204,1323.554,542.615,481.893,1333.95,560.797,457.578,1243.366,551.104,463.701,1011.335,620.303,439.682,975.746,624.466,430.873,981.064,589.451,417.636,1368.046,880.148,801.408,1329.145,887.129,802.866,1348.262,868.86,713.41,1370.913,872.263,732.89,1387.269,817.898,438.315,1359.339,837.243,459.355,1329.255,831.838,468.414,1319.844,810.848,380.369,1156.455,713.719,190.756,1147.426,713.358,161.588,1159.073,746.895,158.098,1107.648,590.578,176.277,1053.991,574.372,390.848,1426.365,572.03,548.91,1443.1,748.642,154.002,1222.321,761.549,198.343,1412.78,823.912,593.863,
1175.297,647.991,1144.031,1162.338,676.021,1152.183,1135.595,695.874,1077.546,1135.988,669.988,1064.999,1388.273,515.667,770.433,1439.464,540.452,803.239,1452.938,539.421,712.379,1427.203,526.883,713.523,1302.076,543.293,510.281,1330.001,542.989,483.143,1340.645,561.179,458.911,1249.981,551.386,464.04,1017.95,620.58,437.199,982.403,624.514,427.734,988.049,589.389,414.692,1365.24,880.658,800.527,1326.346,887.55,802.303,1344.715,869.372,712.686,1367.483,872.788,732.018,1381.629,818.45,436.865,1353.936,837.732,458.005,1323.802,832.341,467.389,1313.827,811.62,379.407,1149.255,713.907,190.831,1139.676,713.709,161.817,1151.743,746.916,158.03,1118.444,590.865,175.423,1061.456,574.341,389.085,1432.217,572.541,551.191,1435.645,748.745,153.251,1215.11,761.589,198.042,1408.174,824.594,592.386,
1175.146,647.991,1144.236,1162.033,675.952,1152.407,1135.191,695.656,1077.748,1135.568,669.77,1065.25,1391.105,515.867,772.419,1441.795,540.992,805.887,1456.525,539.97,715.179,1430.849,527.196,716.015,1308.15,543.643,511.266,1336.357,543.391,484.465,1347.261,561.577,460.354,1256.567,551.73,464.408,1024.48,620.642,434.668,989.088,624.283,424.498,995.046,589.315,411.59,1362.391,881.123,799.673,1323.486,887.94,801.805,1341.1,869.832,712.017,1364.001,873.256,731.219,1375.805,818.969,435.579,1348.211,838.303,456.948,1318.237,832.781,466.467,1307.553,811.931,378.559,1141.855,714.062,190.9,1132.378,713.703,161.87,1144.407,746.921,158.025,1129.437,591.27,174.518,1068.895,574.386,387.258,1437.834,572.969,553.692,1428.276,748.826,152.424,1207.867,761.686,197.814,1403.361,825.282,590.974,
1174.958,647.982,1144.559,1161.838,675.946,1152.696,1134.787,695.489,1078.055,1135.222,669.553,1065.584,1393.534,516.094,774.537,1443.909,541.509,808.635,1459.942,540.424,718.126,1434.314,527.576,718.639,1313.742,545.125,512.023,1342.663,543.8,485.845,1353.811,561.964,461.908,1263.132,552.305,464.627,1031.003,620.47,431.843,995.832,624.242,421.163,1002.07,589.389,408.134,1359.514,881.613,798.837,1320.588,888.335,801.334,1337.405,870.251,711.407,1360.479,873.659,730.484,1370.011,819.397,434.33,1342.474,838.773,455.864,1312.564,833.27,465.759,1301.49,811.986,377.791,1134.731,713.994,190.941,1125.021,713.725,161.989,1137.017,746.91,158.063,1140.638,591.843,173.648,1076.556,574.732,384.965,1443.251,573.298,556.377,1420.82,748.693,151.784,1200.521,761.843,197.626,1398.453,825.863,589.639,
1174.779,648.036,1145.063,1161.616,675.945,1153.086,1134.398,695.283,1078.485,1134.915,669.381,1066.08,1396.256,516.283,776.787,1446.01,542.07,811.513,1463.201,540.801,721.283,1437.692,528.095,721.302,1319.579,545.463,513.092,1348.851,544.203,487.31,1360.228,562.372,463.491,1269.621,552.559,465.042,1037.622,620.43,428.82,1002.542,624.282,417.541,1009.223,589.292,404.545,1356.587,882.025,798.063,1317.655,888.684,800.928,1333.658,870.631,710.835,1356.879,874.117,729.699,1364.112,819.879,433.242,1336.665,839.204,454.874,1306.794,833.624,464.918,1295.224,812.241,377.083,1127.473,714.062,191.07,1117.693,713.726,162.111,1129.69,746.909,158.118,1151.886,592.62,172.462,1084.145,575.189,382.678,1448.586,573.752,559.178,1413.376,748.753,150.996,1193.219,761.988,197.526,1393.436,826.428,588.333,
